property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
489,489,489,"1822 20th Ave, San Francisco, CA 94122",Central Sunset,3,1,1930,zillow_sf,http://www.zillow.com/homedetails/1822-20th-Ave-San-Francisco-CA-94122/15112285_zpid/,2015-08-23 20:31:24,2015-08-28 15:33:13,37.7537,-122.477,110.095,"1822 20th Ave, San Francisco, CA 94122, Central Sunset",489,1295000,open,2014-10-10,,,2015-08-23 20:31:40,2015-08-23 20:31:40,489,sales
515,1893,515,"829 Folsom St UNIT 304, San Francisco, CA 94107",Yerba Buena,1,1,700,zillow_sf,http://www.zillow.com/homedetails/829-Folsom-St-UNIT-304-San-Francisco-CA-94107/2102215787_zpid/,2015-08-23 20:31:27,2015-08-23 20:31:27,37.7812,-122.402,2.43132,"829 Folsom St UNIT 304, San Francisco, CA 94107, Yerba Buena",1893,819000,open,2015-06-12,,,2015-08-27 08:46:47,2015-08-27 08:46:47,515,sales
1088,1088,1088,"28104 N 17th Dr, Phoenix, AZ 85085",North Gateway,4,3,2884,zillow_sf,http://www.zillow.com/homedetails/28104-N-17th-Dr-Phoenix-AZ-85085/88795761_zpid/,2015-08-24 02:25:09,2015-08-28 15:36:19,33.7392,-112.096,487.621,"28104 N 17th Dr, Phoenix, AZ 85085, North Gateway",1088,424610,open,2009-07-27,,0,2015-08-24 02:25:21,2015-08-27 07:48:59,1088,sales
1089,1089,1089,"6220 S 20th Gln, Phoenix, AZ 85041",South Mountain,3,2,1496,zillow_sf,http://www.zillow.com/homedetails/6220-S-20th-Gln-Phoenix-AZ-85041/2137405100_zpid/,2015-08-24 02:25:09,2015-08-24 02:25:09,33.3897,-112.103,331.065,"6220 S 20th Gln, Phoenix, AZ 85041, South Mountain",1089,105000,open,2009-08-09,,,2015-08-24 02:25:21,2015-08-24 02:25:21,1089,sales
1097,1097,1097,"1028 E Diana Ave, Phoenix, AZ 85020",North Mountain,4,2,1302,zillow_sf,http://www.zillow.com/homedetails/1028-E-Diana-Ave-Phoenix-AZ-85020/7789724_zpid/,2015-08-24 02:25:11,2015-08-24 02:25:11,33.5629,-112.06,384.859,"1028 E Diana Ave, Phoenix, AZ 85020, North Mountain",1097,75000,open,2010-07-27,,0,2015-08-24 02:25:21,2015-08-27 07:48:59,1097,sales
1101,1101,1101,"2418 N 19th Dr, Phoenix, AZ 85009",Encanto,3,2,1744,zillow_sf,http://www.zillow.com/homedetails/2418-N-19th-Dr-Phoenix-AZ-85009/7519549_zpid/,2015-08-24 02:25:11,2015-08-28 15:36:20,33.4757,-112.102,333.067,"2418 N 19th Dr, Phoenix, AZ 85009, Encanto",1101,165000,open,2012-03-23,,0,2015-08-24 02:25:21,2015-08-27 07:48:59,1101,sales
1103,1103,1103,"1010 E Becker Ln, Phoenix, AZ 85020",North Mountain,2,2,1209,zillow_sf,http://www.zillow.com/homedetails/1010-E-Becker-Ln-Phoenix-AZ-85020/7788153_zpid/,2015-08-24 02:25:11,2015-08-28 15:36:22,33.5822,-112.059,408.33,"1010 E Becker Ln, Phoenix, AZ 85020, North Mountain",1103,123900,open,2012-04-14,,0,2015-08-24 02:25:21,2015-08-27 07:48:59,1103,sales
1105,1105,1105,"529 E Ames Pl, Phoenix, AZ 85004",Central City,3,4,1843,zillow_sf,http://www.zillow.com/homedetails/529-E-Ames-Pl-Phoenix-AZ-85004/95160335_zpid/,2015-08-24 02:25:11,2015-08-28 15:36:23,33.4608,-112.066,331.95,"529 E Ames Pl, Phoenix, AZ 85004, Central City",1105,354900,open,2012-08-22,,0,2015-08-24 02:25:21,2015-08-27 07:48:59,1105,sales
1113,1113,1113,"15801 N 29th St, Phoenix, AZ 85032",Paradise Valley,2,2,1121,zillow_sf,http://www.zillow.com/homedetails/15801-N-29th-St-Phoenix-AZ-85032/2111784420_zpid/,2015-08-24 02:25:12,2015-08-27 07:48:52,33.6301,-112.018,438.504,"15801 N 29th St, Phoenix, AZ 85032, Paradise Valley",1113,72000,open,2013-07-19,,,2015-08-24 02:25:22,2015-08-24 02:25:22,1113,sales
1114,1493,1114,"4945 E Camelback Rd, Phoenix, AZ 85018",Camelback East,4,2,2960,zillow_sf,http://www.zillow.com/homedetails/4945-E-Camelback-Rd-Phoenix-AZ-85018/89710830_zpid/,2015-08-24 02:25:12,2015-08-24 02:25:12,33.507,-111.975,399.929,"4945 E Camelback Rd, Phoenix, AZ 85018, Camelback East",1493,895000,open,2014-01-09,,,2015-08-24 02:26:35,2015-08-24 02:26:35,1114,sales
1118,1118,1118,"2328 E Indianola Ave, Phoenix, AZ 85016",Camelback East,3,2,1863,zillow_sf,http://www.zillow.com/homedetails/2328-E-Indianola-Ave-Phoenix-AZ-85016/7539695_zpid/,2015-08-24 02:25:13,2015-08-24 02:25:13,33.4924,-112.031,351.662,"2328 E Indianola Ave, Phoenix, AZ 85016, Camelback East",1118,184500,open,2014-08-08,,0,2015-08-24 02:25:22,2015-08-27 07:48:59,1118,sales
1294,1764,1294,"4015 E Glenrosa Ave, Phoenix, AZ 85018",Camelback East,3,2,1890,zillow_ph,http://www.zillow.com/homedetails/4015-E-Glenrosa-Ave-Phoenix-AZ-85018/7836172_zpid/,2015-08-27 07:48:51,2015-08-27 07:48:51,33.4984,-111.994,372.167,"4015 E Glenrosa Ave, Phoenix, AZ 85018, Camelback East",1764,425000,open,2008-02-21,,,2015-08-27 07:48:59,2015-08-27 07:48:59,1294,sales
1332,1826,1332,"186 Francisco St, San Francisco, CA 94133",Telegraph Hill,2,2,2100,zillow_sf,http://www.zillow.com/homedetails/186-Francisco-St-San-Francisco-CA-94133/2142475262_zpid/,2015-08-27 08:46:41,2015-08-27 08:46:41,37.8055,-122.408,13.6694,"186 Francisco St, San Francisco, CA 94133, Telegraph Hill",1826,2549000,open,2008-08-06,,,2015-08-27 08:46:45,2015-08-27 08:46:45,1332,sales
1333,1965,1333,"1601 Pacific Ave APT 205, San Francisco, CA 94109",Nob Hill,3,2,1190,zillow_sf,http://www.zillow.com/homedetails/1601-Pacific-Ave-APT-205-San-Francisco-CA-94109/80753484_zpid/,2015-08-27 08:46:41,2015-08-27 08:46:41,37.7948,-122.422,53.1978,"1601 Pacific Ave APT 205, San Francisco, CA 94109, Nob Hill",1965,879000,open,2012-09-07,,,2015-08-27 08:47:18,2015-08-27 08:47:18,1333,sales
