address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
655 Fifth Street #12,1,2,0,climbsf_rented,http://www.climbsf.com/for-rent/655-5th-st-12/,-122.398,37.7759,2.73163,,,1,,rental,3800,closed,,2015-10-04,,South of Market,75,SF
425 1st Street #2005,1,1,710,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-2005/,-122.392,37.7858,31.017,,,20,1,rental,4500,closed,,2015-08-14,,South Beach,74,SF
655 26th Avenue,2,1,1750,climbsf_rented,http://www.climbsf.com/for-rent/655-26th-ave/,-122.486,37.7771,59.403,,,1,,rental,4600,closed,,2015-08-18,,Central Richmond,7,SF
301 Bryant Street #102,2,2,1306,climbsf_rented,http://www.climbsf.com/for-rent/301-bryant-st-102/,-122.391,37.7845,14.703,,,1,,rental,5199,closed,,2015-08-18,,South Beach,74,SF
539 Octavia Street #8,0,1,180,climbsf_renting,http://www.climbsf.com/for-rent/539-octavia-st-8/,-122.425,37.7773,21.7199,,,1,,rental,1650,closed,8,2015-08-31,2015-08-23,Hayes Valley,27,SF
5800 Third Street #1411,1,1,817,climbsf_renting,http://www.climbsf.com/for-rent/5800-3rd-st-1411/,-122.395,37.7253,7.88801,,,14,,rental,2900,closed,3,2015-08-26,2015-08-23,Bayview,4,SF
301 Crescent Court #3107,2,2,892,climbsf_renting,http://www.climbsf.com/for-rent/301-crescent-ct-3107/,-122.419,37.7352,63.9895,,,31,,rental,3150,closed,4,2015-08-27,2015-08-23,Bernal Heights,5,SF
1384 29th Avenue,2,1,0,climbsf_renting,http://www.climbsf.com/for-rent/1384-29th-ave/,-122.488,37.7615,65.9977,,,1,,rental,3400,closed,7,2015-10-04,2015-09-27,Central Sunset,8,SF
701 Minnesota Street #202,2,1,1000,climbsf_renting,http://www.climbsf.com/for-rent/701-minnesota-st-202/,-122.39,37.7613,15.3004,,,2,,rental,4600,closed,4,2015-08-27,2015-08-23,Central Waterfront/Dogpatch,89,SF
480 Mission Bay Boulevard North #PH1606,2,2,1576,climbsf_renting,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-ph1606/,-122.393,37.7731,2.3413,,,1,,rental,7500,closed,10,2015-09-02,2015-08-23,Mission Bay,48,SF
539 Octavia Street #3,0,1,240,climbsf_renting,http://www.climbsf.com/for-rent/539-octavia-st-3/,-122.425,37.7773,21.7199,,,1,,rental,1950,closed,8,2015-08-31,2015-08-23,Hayes Valley,27,SF
333 Fremont Street #110,1,1,796,climbsf_renting,http://www.climbsf.com/for-rent/333-fremont-st-110/,-122.393,37.7877,11.0817,,,1,,rental,3700,open,,,2015-08-23,South Beach,74,SF
16 Jessie Street #209,1,1,896,climbsf_renting,http://www.climbsf.com/for-rent/16-jessie-st-209/,-122.399,37.7899,5.27414,,,2,1,rental,4700,closed,31,2015-10-28,2015-09-27,Yerba Buena,19,SF
301 Mission Street #22H,1,1,0,climbsf_renting,http://www.climbsf.com/for-rent/301-mission-st-22h/,-122.396,37.7905,0.0,,,22,1,rental,6500,closed,7,2015-10-04,2015-09-27,Yerba Buena,19,SF
55 Page Street #518,0,1,401,climbsf_renting,http://www.climbsf.com/for-rent/55-page-st-518/,-122.422,37.774,13.962,,,5,1,rental,3000,closed,23,2015-09-15,2015-08-23,Hayes Valley,27,SF
300 Ivy Street #503,1,1,0,climbsf_renting,http://www.climbsf.com/for-rent/300-ivy-st-503/,-122.423,37.7774,20.4928,,,5,1,rental,3825,closed,,2015-10-04,,Hayes Valley,27,SF
333 Fremont Street #701,2,1,1300,climbsf_renting,http://www.climbsf.com/for-rent/333-fremont-st-701/,-122.393,37.7877,11.0817,,,7,,rental,5300,open,,,2015-08-23,South Beach,74,SF
301 Mission Street #35A,2,2,0,climbsf_renting,http://www.climbsf.com/for-rent/301-mission-st-35a/,-122.396,37.7905,0.0,,,35,1,rental,8800,open,,,2015-08-23,Yerba Buena,19,SF
345 Bartlett Street,1,1,500,climbsf_renting,http://www.climbsf.com/for-rent/345-bartlett-st/,-122.419,37.7515,28.5096,,,1,1,rental,3300,closed,23,2015-09-15,2015-08-23,Inner Mission,33,SF
250 King Street #576,1,1,787,climbsf_renting,http://www.climbsf.com/for-rent/250-king-st-576/,-122.393,37.7782,5.82981,,,5,1,rental,3850,closed,23,2015-09-15,2015-08-23,South Beach,74,SF
2130 Harrison Street #20,2,1,0,climbsf_renting,http://www.climbsf.com/for-rent/2130-harrison-st-20/,-122.413,37.7629,1.35629,,,1,,rental,5000,closed,7,2015-10-04,2015-09-27,Inner Mission,33,SF
301 Mission St. #5A,2,2,1517,climbsf_renting,http://www.climbsf.com/for-rent/301-mission-st-5a/,-122.396,37.7905,0.0,,,5,1,rental,9000,open,,,2015-09-27,Yerba Buena,19,SF
246 Second Street #1301,1,1,0,climbsf_renting,http://www.climbsf.com/for-rent/246-2nd-st-1301/,-122.397,37.7858,12.231,,,13,,rental,3499,closed,7,2015-10-04,2015-09-27,Yerba Buena,19,SF
333 1st Street #N102,1,1,760,climbsf_renting,http://www.climbsf.com/for-rent/333-1st-st-n102/,-122.394,37.787,19.2513,,,1,1,rental,3900,closed,11,2015-09-03,2015-08-23,South Beach,74,SF
459 33rd Avenue,2,2,1600,climbsf_renting,http://www.climbsf.com/for-rent/459-33rd-ave/,-122.494,37.7805,72.8393,,,1,,rental,5500,open,,,2015-08-23,Outer Richmond,60,SF
338 Spear Street #37D,3,3,1683,climbsf_renting,http://www.climbsf.com/for-rent/338-spear-st-37d/,-122.391,37.7894,0.0,,,37,,rental,10000,closed,23,2015-09-15,2015-08-23,South Beach,74,SF
39 Boardman Place #204,1,1,1000,climbsf_renting,http://www.climbsf.com/for-rent/39-boardman-pl-204/,-122.403,37.7748,4.82236,,,2,,rental,0,closed,,2015-10-04,,South of Market,75,SF
338 Spear Street #18C,1,1,800,climbsf_renting,http://www.climbsf.com/for-rent/338-spear-st-18c/,-122.391,37.7894,0.0,,,18,,rental,4400,closed,9,2015-09-01,2015-08-23,South Beach,74,SF
435 China Basin Street #630,2,2,0,climbsf_renting,http://www.climbsf.com/for-rent/435-china-basin-st-630/,-122.389,37.7716,1.8728,,,6,,rental,5600,closed,,2015-10-04,,Mission Bay,48,SF
"212 Cortland Ave, San Francisco, CA 94110",3,2,1200,zillow_sf,http://www.zillow.com/homedetails/212-Cortland-Ave-San-Francisco-CA-94110/15162751_zpid/,-122.419,37.7394,79.8597,,,1,,rental,6500,open,,,2015-08-04,Bernal Heights,5,SF
"1030 Le Conte Ave, San Francisco, CA 94124",4,3,2200,zillow_sf,http://www.zillow.com/homedetails/1030-Le-Conte-Ave-San-Francisco-CA-94124/15155078_zpid/,-122.397,37.7188,38.534,1988,1,1,,rental,3750,open,,,2015-09-28,Bayview Heights,91,SF
"1 Greenview Ct, San Francisco, CA 94131",4,2,1436,zillow_sf,http://www.zillow.com/homedetails/1-Greenview-Ct-San-Francisco-CA-94131/15131290_zpid/,-122.452,37.7532,189.881,1957,0,1,,rental,4580,open,,,2015-09-04,Midtown Terrace,46,SF
"3879 23rd St, San Francisco, CA 94114",5,4,2600,zillow_sf,http://www.zillow.com/homedetails/3879-23rd-St-San-Francisco-CA-94114/15147154_zpid/,-122.429,37.753,65.3769,,,1,,rental,11000,open,,,2015-07-26,Noe Valley,53,SF
"840 Sloat Blvd, San Francisco, CA 94132",3,2,1923,zillow_sf,http://www.zillow.com/homedetails/840-Sloat-Blvd-San-Francisco-CA-94132/15126499_zpid/,-122.484,37.7361,22.8127,1941,0,1,,rental,4750,open,,,2015-08-07,Pine Lake Park,65,SF
"276 Edgewood Ave, San Francisco, CA 94117",4,4,2800,zillow_sf,http://www.zillow.com/homedetails/276-Edgewood-Ave-San-Francisco-CA-94117/15128055_zpid/,-122.455,37.7612,167.792,,,1,,rental,8995,open,,,2015-09-21,Cole Valley/Parnassus Heights,64,SF
"242 Moscow St, San Francisco, CA 94112",3,2,1025,zillow_sf,http://www.zillow.com/homedetails/242-Moscow-St-San-Francisco-CA-94112/15169105_zpid/,-122.426,37.7238,138.19,1949,0,1,,rental,4450,open,,,2015-09-04,Excelsior,17,SF
"2247 Turk Blvd, San Francisco, CA 94118",3,2,1750,zillow_sf,http://www.zillow.com/homedetails/2247-Turk-Blvd-San-Francisco-CA-94118/15084910_zpid/,-122.446,37.7784,87.8515,1996,1,1,,rental,5800,open,,,2015-10-02,North Panhandle,55,SF
"2201 Sacramento St PH 601, San Francisco, CA 94115",2,2,1498,zillow_sf,http://www.zillow.com/homedetails/2201-Sacramento-St-PH-601-San-Francisco-CA-94115/15074728_zpid/,-122.438,37.7925,91.9031,,,1,,rental,5995,open,,,2015-08-27,Pacific Heights,62,SF
"400 Avila St APT 306, San Francisco, CA 94123",2,1,758,zillow_sf,http://www.zillow.com/homedetails/400-Avila-St-APT-306-San-Francisco-CA-94123/15069915_zpid/,-122.441,37.805,6.82622,1991,1,3,,rental,4699,open,,,2015-09-17,Marina,43,SF
"3317 Washington St, San Francisco, CA 94118",4,3,4998,zillow_sf,http://www.zillow.com/homedetails/3317-Washington-St-San-Francisco-CA-94118/15081817_zpid/,-122.448,37.7897,101.073,1939,0,1,,rental,12995,open,,,2015-09-18,Presidio Heights,69,SF
"143 Riverton Dr, San Francisco, CA 94132",2,1,1208,zillow_sf,http://www.zillow.com/homedetails/143-Riverton-Dr-San-Francisco-CA-94132/15197901_zpid/,-122.487,37.7316,38.0306,,,1,,rental,5250,open,,,2015-08-04,Lake Shore,39,SF
"42 Hugo St, San Francisco, CA 94122",1,1,957,zillow_sf,http://www.zillow.com/homedetails/42-Hugo-St-San-Francisco-CA-94122/15102390_zpid/,-122.459,37.7654,89.0639,,,1,,rental,4200,open,,,2015-07-28,Inner Sunset,36,SF
"84 Jennings Ct, San Francisco, CA 94124",3,2,1475,zillow_sf,http://www.zillow.com/homedetails/84-Jennings-Ct-San-Francisco-CA-94124/15155020_zpid/,-122.397,37.7171,58.5561,,,1,,rental,3000,open,,,2015-06-25,Bayview Heights,91,SF
"374 Victoria St, San Francisco, CA 94132",3,1,1350,zillow_sf,http://www.zillow.com/homedetails/374-Victoria-St-San-Francisco-CA-94132/15193169_zpid/,-122.465,37.7175,141.75,,,1,,rental,2850,open,,,2012-09-24,Ingleside Heights,31,SF
"1011 23rd St APT 11, San Francisco, CA 94107",2,2,1884,zillow_sf,http://www.zillow.com/homedetails/1011-23rd-St-APT-11-San-Francisco-CA-94107/80742827_zpid/,-122.39,37.755,5.38075,,,1,,rental,4890,closed,57,2015-10-06,2015-08-10,Central Waterfront/Dogpatch,89,SF
"1544 8th Ave, San Francisco, CA 94122",3,2,1752,zillow_sf,http://www.zillow.com/homedetails/1544-8th-Ave-San-Francisco-CA-94122/15106179_zpid/,-122.465,37.7595,105.23,,,1,,rental,6500,open,,,2015-08-19,Inner Sunset,36,SF
"20 Quartz Way, San Francisco, CA 94131",6,3,2900,zillow_sf,http://www.zillow.com/homedetails/20-Quartz-Way-San-Francisco-CA-94131/15198789_zpid/,-122.446,37.7457,159.367,,,1,,rental,8500,open,,,2015-08-06,Diamond Heights,13,SF
"339 Elsie St, San Francisco, CA 94110",4,3,1850,zillow_sf,http://www.zillow.com/homedetails/339-Elsie-St-San-Francisco-CA-94110/15162738_zpid/,-122.42,37.7387,86.9865,,,1,,rental,7500,open,,,2015-01-14,Bernal Heights,5,SF
"506 Rockdale Dr, San Francisco, CA 94127",3,2,2400,zillow_sf,http://www.zillow.com/homedetails/506-Rockdale-Dr-San-Francisco-CA-94127/15134620_zpid/,-122.449,37.7395,208.368,,,1,,rental,6250,open,,,2015-08-21,Miraloma Park,47,SF
"165 Crescent Ave, San Francisco, CA 94110",1,1,560,zillow_sf,http://www.zillow.com/homedetails/165-Crescent-Ave-San-Francisco-CA-94110/15164323_zpid/,-122.421,37.7353,75.2007,,,1,,rental,4000,open,,,2015-07-28,Bernal Heights,5,SF
"135 Forest Side Ave, San Francisco, CA 94127",3,3,2100,zillow_sf,http://www.zillow.com/homedetails/135-Forest-Side-Ave-San-Francisco-CA-94127/15134122_zpid/,-122.469,37.7408,107.333,,,1,,rental,6995,open,,,2015-08-21,West Portal,82,SF
"2122 36th Ave, San Francisco, CA 94116",2,1,700,zillow_sf,http://www.zillow.com/homedetails/2122-36th-Ave-San-Francisco-CA-94116/15117292_zpid/,-122.494,37.7474,56.1197,,,1,,rental,2800,open,,,2015-08-04,Parkside,63,SF
"88 King St APT 919, San Francisco, CA 94107",2,2,1145,zillow_sf,http://www.zillow.com/homedetails/88-King-St-APT-919-San-Francisco-CA-94107/80746344_zpid/,-122.389,37.7807,3.50702,,,9,1,rental,4200,open,,,2011-02-09,South Beach,74,SF
"587 London St, San Francisco, CA 94112",4,2,1530,zillow_sf,http://www.zillow.com/homedetails/587-London-St-San-Francisco-CA-94112/15174550_zpid/,-122.437,37.7197,73.1027,1900,1,1,,rental,4000,closed,22,2015-10-28,2015-10-06,Excelsior,17,SF
"1267 Sunnydale Ave, San Francisco, CA 94134",1,1,1725,zillow_sf,http://www.zillow.com/homedetails/1267-Sunnydale-Ave-San-Francisco-CA-94134/15176756_zpid/,-122.414,37.7112,24.1902,1963,0,1,,rental,1100,closed,151,2015-10-07,2015-05-09,Visitacion Valley,81,SF
"77 Dow Pl APT 901, San Francisco, CA 94107",1,1,1060,zillow_sf,http://www.zillow.com/homedetails/77-Dow-Pl-APT-901-San-Francisco-CA-94107/61325302_zpid/,-122.397,37.7841,17.9581,,,9,,rental,4288,closed,39,2015-10-06,2015-08-28,Yerba Buena,19,SF
"1 Wilder St, San Francisco, CA 94131",3,2,1365,zillow_sf,http://www.zillow.com/homedetails/1-Wilder-St-San-Francisco-CA-94131/15185423_zpid/,-122.432,37.7338,60.1155,1938,0,1,,rental,5500,closed,,2015-10-28,,Glen Park,23,SF
"1110 Page St, San Francisco, CA 94117",4,2,2888,zillow_sf,http://www.zillow.com/homedetails/1110-Page-St-San-Francisco-CA-94117/69819012_zpid/,-122.439,37.7722,77.8671,,,1,,rental,9900,open,,,2015-08-11,Haight Ashbury,26,SF
"225 Claremont Blvd, San Francisco, CA 94127",4,2,2100,zillow_sf,http://www.zillow.com/homedetails/225-Claremont-Blvd-San-Francisco-CA-94127/15135381_zpid/,-122.464,37.7417,126.915,,,1,,rental,4950,open,,,2013-10-17,West Portal,82,SF
"2933 Yorba St, San Francisco, CA 94116",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/2933-Yorba-St-San-Francisco-CA-94116/15126276_zpid/,-122.498,37.7344,22.4848,1953,0,1,,rental,4400,closed,19,2015-10-28,2015-10-09,Outer Parkside,59,SF
"201 Sansome St UNIT 1001, San Francisco, CA 94104",2,2,1000,zillow_sf,http://www.zillow.com/homedetails/201-Sansome-St-UNIT-1001-San-Francisco-CA-94104/79841905_zpid/,-122.401,37.7922,4.57521,,,1,,rental,5750,closed,25,2015-10-07,2015-09-12,Financial District/Barbary Coast,18,SF
"635 Waller St, San Francisco, CA 94117",2,1,1357,zillow_sf,http://www.zillow.com/homedetails/635-Waller-St-San-Francisco-CA-94117/82785584_zpid/,-122.434,37.7705,54.3218,1895,0,1,,rental,5500,closed,73,2015-10-28,2015-08-16,Hayes Valley,27,SF
"333 Main St UNIT 9H, San Francisco, CA 94105",1,1,835,zillow_sf,http://www.zillow.com/homedetails/333-Main-St-UNIT-9H-San-Francisco-CA-94105/2101847473_zpid/,-122.391,37.789,1.80794,,,1,,rental,4500,open,,,2015-06-28,South Beach,74,SF
"425 1st St UNIT 3103, San Francisco, CA 94105",2,2,1328,zillow_sf,http://www.zillow.com/homedetails/425-1st-St-UNIT-3103-San-Francisco-CA-94105/83154490_zpid/,-122.392,37.7858,31.017,,,1,1,rental,6995,closed,,2015-10-11,,South Beach,74,SF
"74 New Montgomery St UNIT 702, San Francisco, CA 94105",2,2,1069,zillow_sf,http://www.zillow.com/homedetails/74-New-Montgomery-St-UNIT-702-San-Francisco-CA-94105/83154141_zpid/,-122.401,37.7875,7.64144,,,1,1,rental,5000,open,,,2011-05-18,Yerba Buena,19,SF
"438 Broderick St, San Francisco, CA 94117",3,2,0,zillow_sf,http://www.zillow.com/homedetails/438-Broderick-St-San-Francisco-CA-94117/2138184789_zpid/,-122.439,37.7743,65.5902,,,1,,rental,7100,open,,,2015-08-13,North Panhandle,55,SF
"338 Spear St UNIT 26A, San Francisco, CA 94105",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/338-Spear-St-UNIT-26A-San-Francisco-CA-94105/89239672_zpid/,-122.391,37.7894,0.0,,,1,,rental,5800,open,,,2015-08-08,South Beach,74,SF
"1160 Mission St UNIT 1707, San Francisco, CA 94103",2,2,1031,zillow_sf,http://www.zillow.com/homedetails/1160-Mission-St-UNIT-1707-San-Francisco-CA-94103/83154486_zpid/,-122.412,37.7784,12.0417,2009,0,1,,rental,7000,closed,289,2015-10-28,2015-01-12,South of Market,75,SF
"851 Indiana St UNIT 304, San Francisco, CA 94107",2,2,1074,zillow_sf,http://www.zillow.com/homedetails/851-Indiana-St-UNIT-304-San-Francisco-CA-94107/111711221_zpid/,-122.391,37.7592,13.1688,,,1,,rental,5250,open,,,2015-06-24,Central Waterfront/Dogpatch,89,SF
"3010 Sacramento St, San Francisco, CA 94115",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/3010-Sacramento-St-San-Francisco-CA-94115/2132904222_zpid/,-122.443,37.7889,69.8516,,,1,,rental,5500,open,,,2015-06-19,Pacific Heights,62,SF
"2196 Pacific Ave, San Francisco, CA 94115",2,2,1456,zillow_sf,http://www.zillow.com/homedetails/2196-Pacific-Ave-San-Francisco-CA-94115/2129723257_zpid/,-122.431,37.7939,80.0589,,0,1,,rental,6700,closed,22,2015-10-28,2015-10-06,Pacific Heights,62,SF
"208 28th St APT 302, San Francisco, CA 94131",3,3,1655,zillow_sf,http://www.zillow.com/homedetails/208-28th-St-APT-302-San-Francisco-CA-94131/116156967_zpid/,-122.427,37.7453,46.6234,,,3,,rental,9000,open,,,2015-08-13,Noe Valley,53,SF
"501 Beale St, San Francisco, CA 94105",2,2,1160,zillow_sf,http://www.zillow.com/homedetails/501-Beale-St-San-Francisco-CA-94105/2105529391_zpid/,-122.389,37.7863,2.86181,2006,1,1,1,rental,7000,closed,68,2015-10-28,2015-08-21,South Beach,74,SF
"435 China Basin St, San Francisco, CA 94158",2,2,1593,zillow_sf,http://www.zillow.com/homedetails/435-China-Basin-St-San-Francisco-CA-94158/2115710005_zpid/,-122.389,37.7716,1.8728,2012,1,1,,rental,9000,closed,76,2015-10-28,2015-08-13,Mission Bay,48,SF
"2139 Green St, San Francisco, CA 94123",2,2,1845,zillow_sf,http://www.zillow.com/homedetails/2139-Green-St-San-Francisco-CA-94123/2114280573_zpid/,-122.434,37.796,53.784,1988,1,1,,rental,12500,closed,78,2015-10-28,2015-08-11,Pacific Heights,62,SF
"923 14th St, San Francisco, CA 94114",3,1,1700,zillow_sf,http://www.zillow.com/homedetails/923-14th-St-San-Francisco-CA-94114/15142913_zpid/,-122.434,37.7672,55.4926,1900,1,1,,rental,6500,closed,61,2015-10-18,2015-08-18,Duboce Triangle,15,SF
"400 Spear St, San Francisco, CA 94105",2,2,1450,zillow_sf,http://www.zillow.com/homedetails/400-Spear-St-San-Francisco-CA-94105/2110481142_zpid/,-122.389,37.7884,3.44822,,,1,,rental,4980,open,,,2015-09-18,South Beach,74,SF
"2751 42nd Ave, San Francisco, CA 94116",4,2,1500,zillow_sf,http://www.zillow.com/homedetails/2751-42nd-Ave-San-Francisco-CA-94116/15126181_zpid/,-122.5,37.7355,20.6444,,,1,,rental,5500,open,,,2015-08-08,Outer Parkside,59,SF
"(Undisclosed Address) San Francisco, CA 94114",1,1,800,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94114/2111980598_zpid/,-122.433,37.7561,99.598,,0,1,,rental,4250,closed,478,2015-10-04,2014-06-13,Eureka Valley / Dolores Heights,16,SF
"(Undisclosed Address) San Francisco, CA 94115",2,1,900,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94115/2115405120_zpid/,-122.438,37.7878,54.0165,,0,1,,rental,4250,open,,,2014-06-13,Lower Pacific Heights,42,SF
"1822 20th Ave, San Francisco, CA 94122",3,1,1930,zillow_sf,http://www.zillow.com/homedetails/1822-20th-Ave-San-Francisco-CA-94122/15112285_zpid/,-122.477,37.7537,110.095,1923,0,1,,rental,4500,closed,20,2015-10-28,2015-10-08,Central Sunset,8,SF
"Van Ness Ave San Francisco, CA 94102",1,1,946,zillow_sf,http://www.zillow.com/homedetails/Van-Ness-Ave-San-Francisco-CA-94102/2104512512_zpid/,-122.419,37.7767,17.2451,2009,0,1,,rental,4450,closed,16,2015-10-04,2015-09-18,Van Ness/Civic Center,80,SF
"(Undisclosed Address) San Francisco, CA 94112",2,3,1500,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94112/2115533261_zpid/,-122.441,37.7225,51.9032,,0,1,,rental,3500,closed,319,2015-10-04,2014-11-19,Mission Terrace,50,SF
"Vallejo St San Francisco, CA 94123",0,1,700,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94123/2107186505_zpid/,-122.435,37.7952,62.7167,,,1,,rental,4200,open,,,2014-11-19,Pacific Heights,62,SF
"San Bruno Ave San Francisco, CA 94107",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/San-Bruno-Ave-San-Francisco-CA-94107/2107187073_zpid/,-122.405,37.7621,38.9504,,,1,,rental,4900,open,,,2014-11-19,Potrero Hill,67,SF
"Van Ness Ave San Francisco, CA 94102",1,1,832,zillow_sf,http://www.zillow.com/homedetails/Van-Ness-Ave-San-Francisco-CA-94102/2104531446_zpid/,-122.419,37.7767,17.2451,2009,1,1,,rental,4700,closed,36,2015-10-04,2015-08-29,Van Ness/Civic Center,80,SF
"Buchanan St San Francisco, CA 94102",1,1,0,zillow_sf,http://www.zillow.com/homedetails/Buchanan-St-San-Francisco-CA-94102/2104312804_zpid/,-122.427,37.7739,46.1944,2014,0,1,,rental,5000,closed,37,2015-10-04,2015-08-28,Hayes Valley,27,SF
"20th St San Francisco, CA 94110",3,2,1900,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104136356_zpid/,-122.416,37.7588,10.3318,,,1,,rental,10000,open,,,2014-12-09,Inner Mission,33,SF
"20th St San Francisco, CA 94110",0,1,0,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104086315_zpid/,-122.416,37.7588,10.3318,,,1,,rental,3750,open,,,2014-12-12,Inner Mission,33,SF
"Vallejo St San Francisco, CA 94133",0,1,425,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94133/2104055538_zpid/,-122.41,37.7985,31.952,,,1,,rental,4000,open,,,2014-12-16,North Beach,54,SF
"11th Ave San Francisco, CA 94118",2,2,1100,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94118/2103990577_zpid/,-122.469,37.7805,55.245,,,1,,rental,5200,open,,,2014-12-20,Inner Richmond,35,SF
"Greenwich St San Francisco, CA 94123",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94123/2103871868_zpid/,-122.436,37.799,18.5231,,,1,,rental,10000,open,,,2015-01-04,Cow Hollow,11,SF
"9th Ave San Francisco, CA 94122",0,1,450,zillow_sf,http://www.zillow.com/homedetails/9th-Ave-San-Francisco-CA-94122/2103580102_zpid/,-122.466,37.7626,82.5523,,,1,,rental,2500,open,,,2015-01-28,Inner Sunset,36,SF
"Davis Ct San Francisco, CA 94111",0,1,830,zillow_sf,http://www.zillow.com/homedetails/Davis-Ct-San-Francisco-CA-94111/2103579860_zpid/,-122.398,37.7963,2.76782,,,1,,rental,3800,open,,,2015-01-28,Financial District/Barbary Coast,18,SF
"Webster St San Francisco, CA 94117",4,2,2000,zillow_sf,http://www.zillow.com/homedetails/Webster-St-San-Francisco-CA-94117/2103580027_zpid/,-122.43,37.7775,31.6568,,,1,,rental,10499,open,,,2015-01-28,Hayes Valley,27,SF
"Mcallister St San Francisco, CA 94115",4,2,1700,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103514323_zpid/,-122.436,37.7781,60.9689,,,1,,rental,8900,open,,,2015-02-08,Alamo Square,1,SF
"(Undisclosed Address) San Francisco, CA 94118",3,3,2200,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94118/2113290978_zpid/,-122.464,37.7823,57.6666,,0,1,,rental,8900,closed,237,2015-10-04,2015-02-09,Inner Richmond,35,SF
"Jersey St San Francisco, CA 94114",2,1,920,zillow_sf,http://www.zillow.com/homedetails/Jersey-St-San-Francisco-CA-94114/2103262096_zpid/,-122.432,37.7506,54.0433,,0,1,,rental,4700,closed,226,2015-10-04,2015-02-20,Noe Valley,53,SF
"Mcallister St San Francisco, CA 94115",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103241785_zpid/,-122.436,37.7781,60.9689,,,1,,rental,5900,open,,,2015-02-23,Alamo Square,1,SF
"(Undisclosed Address) San Francisco, CA 94102",3,3,3200,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94102/2120427893_zpid/,-122.421,37.7787,20.0839,,0,1,,rental,7000,closed,198,2015-10-04,2015-03-20,Van Ness/Civic Center,80,SF
"Vallejo St San Francisco, CA 94133",2,1,825,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94133/2104055531_zpid/,-122.41,37.7985,31.952,,,1,,rental,6000,open,,,2015-04-22,North Beach,54,SF
"10th Ave San Francisco, CA 94118",3,2,1400,zillow_sf,http://www.zillow.com/homedetails/10th-Ave-San-Francisco-CA-94118/2104136173_zpid/,-122.469,37.7798,57.2283,,,1,,rental,8300,open,,,2015-04-23,Inner Richmond,35,SF
"Greenwich Street # Top Floor San Francisco, CA 94123",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/Greenwich-Street-Top-Floor-San-Francisco-CA-94123/2102303309_zpid/,-122.438,37.802,11.0714,,,1,,rental,10000,open,,,2015-05-14,Marina,43,SF
"(Undisclosed Address) San Francisco, CA 94109",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94109/2114678978_zpid/,-122.421,37.793,57.1436,,0,1,,rental,6995,closed,249,2015-10-04,2015-01-28,Nob Hill,93,SF
"20th St San Francisco, CA 94114",2,1,850,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94114/2104055540_zpid/,-122.432,37.7578,70.3663,,,1,,rental,5700,open,,,2015-05-14,Eureka Valley / Dolores Heights,16,SF
"829 Folsom St UNIT 304, San Francisco, CA 94107",1,1,700,zillow_sf,http://www.zillow.com/homedetails/829-Folsom-St-UNIT-304-San-Francisco-CA-94107/2102215787_zpid/,-122.402,37.7812,2.43132,,,1,1,rental,3850,closed,30,2015-10-11,2015-09-11,Yerba Buena,19,SF
"Dolores St San Francisco, CA 94110",1,1,800,zillow_sf,http://www.zillow.com/homedetails/Dolores-St-San-Francisco-CA-94110/2102215886_zpid/,-122.425,37.7534,36.1778,,0,1,,rental,4000,closed,135,2015-10-04,2015-05-22,Noe Valley,53,SF
"23rd St San Francisco, CA 94114",0,1,500,zillow_sf,http://www.zillow.com/homedetails/23rd-St-San-Francisco-CA-94114/2102187752_zpid/,-122.434,37.7529,86.3255,,,1,,rental,3350,open,,,2015-05-26,Noe Valley,53,SF
