Address,Neighborhood,Bedrooms,Bathrooms,Price,Sqft,Term,Rented,Date,Source,URL
"900 Folsom St San Francisco, CA 94107",South of Market,0,1,2845,410,,FALSE,2/16/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=10~381375736006322817~nWemwh1XXrh3LZ_xPCUF_Kj2T8rg29drXjnEcwNR9SmcrDP8wzOgEPySwoUsT1SeMYbt1AEDL1CS_pg7TN4dR5jz6-MiR6PU_sYT0BJtz8SeJF0HS9ZbRkBz97zl3zBdQbUC-86-SbnBXxOzk1HHy7ojOyiCOW8IH4FCCb9et0SiUkUMBtdv03FiPC_SQ9il1ZRyBvj5jD2N5eHAcrbsRZwK3TnR9H6QPoGOLN3Bbs4p3yQYelKwBTposJ0pzH6GmGkNaH7uvcZkX6yuHO7w3yUqPD24PEtAfbs1Xmx7WGK6wkHU3jIsf5SjzpfHKx2NyVIN4JN7N3p27PbcNAHynA==&rwebid=23354414&rhost
451 Kansas Street #436,Potrero Hill,0,1,2700,436,,TRUE,8/12/2014,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-436/
"100 Van Ness Ave San Francisco, CA 94102",Van Ness - Civic Center,0,1,3030,439,,FALSE,12/11/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=3~514344106819534294~u50581cPybB4xluSJxBcm9b8OoT_5UZe0r47jycC9PB7L_pMcwYjOvMI_ANd5W-LPxWH6W5WAQfKg76Tx1DudJ0PMFAnwKOevgDi0MJlBW1CIMi-96Cb_l-qQ8b6h9m5Z-tl2T1kEI_-FwKfxaADJE37WsGPJn0J-KCbUFRJEYFm-svHrHZGSES8KugRwGR-2LMUv5Cu9fIrdqqubu2qpW2hk4FQvSgxPrtQHSBhvCnnXO9ljZgLcWrYMywXNvrPWJpb9FU_CKbgQ85RotKfyNcB5WWa3os7QGBdpxNYZ4ShU1ORuoN69UTEUWO0YbxJJs_522naNTyIDFVL9l2Ogg==&rwebid=23538169&rhost
"574 3rd St San Francisco, CA 94107",South of Market,0,1,2295,441,,FALSE,7/1/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~8409376629466812737~w37TEMTw_sbcyzJsAVR3IuA0vCksj6h8J3xMupOBq0FlAhjle7Z1YCdSq--L9_qxiE-LFbXosypKrvKMoIfPnlENtBOh7TzDtynJYddQ-67omUkNcTZdzaOvhNLsSMfwzba79bGwqYjXAPp38jONHUT-mIVUAqadIbL-4PIYAgt2ZhA4Ncj2DKmVsRw35Elw05CPfXX-BX1t6efHJUfg_kaq-tczrmIdl9XD29QzVNHM4ORieG5iHBUzzC9ZNNzGBU-xLgvjv8tujTDN5hU6Nn4zohtOY5n89mTlZq4j3Cu56Wb2_GGQA55M7J0mHm5iWoYXhkHS7cRIESrO9zECIQ==&rwebid=23147928&rhost
"574 3rd St San Francisco, CA 94107",South of Market,0,1,2295,441,,FALSE,3/26/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~8409376629466812737~w37TEMTw_sbcyzJsAVR3IuA0vCksj6h8J3xMupOBq0FlAhjle7Z1YCdSq--L9_qxiE-LFbXosypKrvKMoIfPnlENtBOh7TzDtynJYddQ-67omUkNcTZdzaOvhNLsSMfwzba79bGwqYjXAPp38jONHUT-mIVUAqadIbL-4PIYAgt2ZhA4Ncj2DKmVsRw35Elw05CPfXX-BX1t6efHJUfg_kaq-tczrmIdl9XD29QzVNHM4ORieG5iHBUzzC9ZNNzGBU-xLgvjv8tujTDN5hU6Nn4zohtOY5n89mTlZq4j3Cu56Wb2_GGQA55M7J0mHm5iWoYXhkHS7cRIESrO9zECIQ==&rwebid=23147928&rhost
"574 3rd St San Francisco, CA 94107",South of Market,1,1,2595,441,,FALSE,7/1/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=5~3676255681802055121~FSvBeGp5i3NPJDwClC9PX_s6gytUCLOrg4ZoVSdjHnlmQXzcOJf7Hhn8vxoMoRDzkamn14bx4QRK8ZWrrn_ItbIGPmC6ccb9PHtMrBjLw72NxAbpsfnRCcXBb4Fk4yPX3G1IdwlJIZrOkjLBV5wQBnqMOCksBjCQimYjQI1naE08atHS1VYWqYTMBIjUgRBXyuDC6KnUReKnBmtvKNzvRVhTAHtqB_edN8MjgoIQan2_Wm09oXUIUqGoZIGPf6RRjs_ynRgN6zFQOtj_nmzw18wKM2B2pYbPZyP7oxgZvPF7Fj09EwJyMrWl9NplPWa2_iEAGUeIwgf1cJuhfA6VJw==&rwebid=23147353&rhost
"965 Sutter St San Francisco, CA 94109",Downtown,0,1,2790,441,,FALSE,2/26/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=2~318950340429154814~lIYv9yC8FDGhnjskyZ5DfXMtEL3qUF1i0Tc29a0GD-pq3KOzCi4ERSdcWOidc9i3X0rwPXDpPxc0jKIBMvUGGkFZ8KNgN_cM8d4TwYP63cZBPRo3rTn9TH6R9raehRg3Bflf4BVI0S8Jae67BDKek6Zbdokv6PDfiDlrkraMrCG7S_NYSn6FC2ZOt3FokTmCdq9ntvPPLY5f9VSKqW4kyNvPmkQEEvO13hUEMnq7qtPjc8rBG1cSS6iPrjUAI4tzUIqO1sWyrTSsgWOcTGjQbT1uMJBGASP9Zl7SalW2PYZtHVXgBZpOlR9_8S0fCMw3UkKN5pGcyKpbRIf8nahYsw==&rwebid=23159488&rhost
"325 Octavia St San Francisco, CA 94102",Hayes Valley,0,1,3250,449,,FALSE,12/22/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=9~2058398348073802061~8Xmdv0hC9oSgQ5JDS0Oyrd1FNXf0Zq9U1r0Ri3IjLc2434FneSYm8gf-4WEVvOiqzOwUmekG2DC5NhT73U5C6GQASSKX0Dw_60CtNIzAxcCiMNj6Ycs9SmTQ4eawsLz-Rpx6ImcYtn0_CHifNyOZw0efB0rLxs5-odfhIrP8-qdbNjdjBjNyAsHnaUXKyTKxPhYgw6K3g0E8i3sXzMWPNfKqThMEDw3XwnxoIPknR0OBtI6rVYLzAoupWYGZtumFMbXCilQ7nvvKNEjnUSJk3GX-ev74C4ViKsui1UbMbKggctFdEmncJU52bC10Np_ayq4vKRbQe8tJIb-lGKD1HQ==&rwebid=22999519&rhost
"325 Octavia St San Francisco, CA 94102",Hayes Valley,0,1,3215,449,,FALSE,12/22/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=6~2997838542197351562~QKUwSbthoX-Vsiwq3JQ-RT-zXajra2QytMy6yx2jzv86Scz0Ve0CsNCO9f3eVlPTfEVYHDSM7ug3LPEr1KUV-8UY8GnkzHLAYOKDV3ZAL9NJrUvq90v7iMFnzaXz977Uvo8XnjB5NyTWm2QVPqg7sliDvS1MbItNXyYZLZuNld17u013Rm_04qqn7vsZ5THxP_KewLkcPiRWwEt94kOnwuzuipn4Bl-IPBPIDGUhHHQ2zO3ep3e1oAFieWhDROzWNkEolIpYp9ObO3Zs-wya8LyceWxJ734SXeKpXii-IAXAtNiH0HKCPeXo1bIOKJKy8wBdaYfFnJUewhsUaH34iw==&rwebid=22999961&rhost
451 Kansas Street #520,Potrero Hill,0,1,2800,450,,TRUE,5/18/2015,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-520/
16 Jessie St #407,Downtown,0,1,2000,450,,TRUE,12/20/2011,Climb SF,http://www.climbsf.com/for-rent/16-jessie-st-407/
8 Buchanan Street #214,Hayes Valley,0,1,2975,453,,TRUE,6/15/2015,Climb SF,http://www.climbsf.com/for-rent/1960-market-st-214/
451 Kansas Street #489,Potrero Hill,0,1,2600,453,,TRUE,8/9/2013,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-489/
"185 Channel St San Francisco, CA 94158",South of Market,0,1,3463,456,,FALSE,2/20/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=6~3183742059581815518~M5QVHhSOnljNkZjU12aDPF-6SLy2lh22kHRMTg1qu2glWu88kD75t1r6DBrXo5u2yWpfAaEAg-Wtn6ofauKaGGX8rA4eAFJ4Y1EZ0627fS_igYgz_COtM-xyC1PcCefYGVLC8Fiyw0xBteNOvbDupyhnSYyPhzJQRbcnbA8SJqHimFPhPC2XXzP8yZXMc9F-qnlmiVu7MNDxjZmg-kjCZZWqpuzUCVwktJvSqujs0tZ0juYTpkxbXxqF3fBTrqLgJMqU5Xhm0Ij0yOZZT8wPrSC9BZ-cHrLf9hTaU9QUuBvh6qMIUGTqGfRVYkt7HYFmt86i-WU489NEG-NYgLJc2g==&rwebid=23171149&rhost
"8 10th St San Francisco, CA 94103",South of Market,0,1,3815,463,,FALSE,2/11/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=8~1440769951546615942~ZI9VyPYTqd2Gk-Vy09l3NdHiNWE5BFiiOi8sR3gIJUZNh_bCd62vh1FqCYaqrKyTnbGVLRnzk2qPpSHcIPGJ4W6o4lmpskrsTJba7XIMnhTQUnS42nEleQKKEwCGGpWaUaorJvz21LeUtLoabzEQ1pi9MMLHoadH8NbzMX-6V3oKj3g0OVs5KWLnwTPTjuZNc8hCQQNp3tdq6BDO1ORYZL1Pd7N1mEfRd8dGvfXPEFjfazCMTiPP63ZKv0_5vRErld-4EwLz2DZ5k11QCMNeKJJzBkYAOt968uhHASJmwVotqmNeNAqFxqI7Agpx_cq1P6YqYRrw6-1BJZfIC81e0Q==&rwebid=23191142&rhost
"900 Folsom St San Francisco, CA 94107",South of Market,0,1,3195,466,,FALSE,2/16/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=2~3061532211878414538~Xg1BVwFVWK7yLk2RIek8sq-8TbyPSO0yKUy3GtUZcbW7y8-Knxu7_Jo8beyyx2IzhJ_6HuwLaAnZQVe5_Wa0mxJZnTFBRbMdMbOlRX4hoiIWfnQZ6mkWLdNmqrUf3JP0WWjUCDEbAit15bqga-2BcnQoEcnQy0hGOioFZ2ygYR23_AhDhoiNcUXkKtRWcTHULsTSgAfbr4qny38rE9YuuLXmSk2ooP4wMM9JQFao8L5myLsn-FjFUhMRj-nWjNT-L8UVrbWjzVgf2jq4JvwnlVnPi3oqlW_Od-CH9t-geto22PQoADtu57udG6Y-XrRuUkO807HH_x6kbCNneTJY2A==&rwebid=23353920&rhost
"8 10th St San Francisco, CA 94103",South of Market,0,1,3835,471,,FALSE,2/3/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=5~596007000819289884~JtED-biijKkHOFqb0fhJiQVSxhm_Cmix0aRmFQIDfH4dm9o2deyhLIHIoKAsoinq-clo1oR1in_NXQZaZ48z07jFVVH2zawNeOoR8uCbtOi3BVJhDQbKVrGXSmbDaa-4bPVHtWc-PvBe-2h9re0BziXELueryeAx_NrEndmYB7k7t8AB4knrNQtiK9NeI1rQLO5PEFG2kx_1blInj2fd0Lnyv9EuO4Gh26A5tvGE47kxwRgUHAGt7NVDoZzRY_eGjgUz45GP9K-52v29J22fLv1vCnLOAsCS8JC5I-ga6tBWJIL909VsU0-RbDdMX2GQRzZfOv2CCFO1TdwDFkW06Q==&rwebid=23190637&rhost
"639 Geary St San Francisco, CA 94102",Tenderloin,0,1,2691,475,,FALSE,1/12/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=10~6000643235997590779~Yg2ZyW_DYlPjl8AmyGg3bk_HyIGPk-KPWFx1BnVzvnLvozF2vT38aqulPiYEZocoXxUehVkuwQU2hxzjpdcStc4nxgXbczwAwyzmQs8TFbvUfdY9xzN2ncnZ4YVzQdT5okWeAwm7Z3uws2FioTs3SRqfotKQSILyeS3CGp7dGLV46Wbz3K4adGHmaVDSummA0HzLbAAK3yrbzSCyK9aAvIpwnyd6iakQj3kOjMzx5sD3hpISN3vND55JzVm2yq6_vS3Vx-aLSPREhsl3JOfNj4FpnqAX3iOdpX4-Xv3HBPFfSrDNrvSdH1Ohs7igYqqJYfIjA0lopHzVLsGvkVZxUQ==&rwebid=23162462&rhost
"2000 Post St San Francisco, CA 94115",Lower Pacific Heights,0,1,2952,475,,FALSE,5/24/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=8~7548702320720243543~5Jx5dIMnkrc8QepqHY_yNvwUSiWUMzC3kPYTbK4FTOrbm2NfbRRG1gY48nrduP0GrXSCehvkILQuwK_rPobOohMKLeSZ-n2u-H9yb3ZMT4_0uH3FA2bmzvilNMj2H8QQoA58l69myvOTNDDDw80wjrXPFhXyqBAFf70V_gqiWzcGqKwtSN5nqip1n1_J6k1QmutJP8vQychvQ3Ndw6or5MGKoVRCdr9MvcrYmdNn_iQB_1E0AmW8qU6wJqRJzrj0T8DunP_8SkieWOHeMS4PBII2LhyXGJnJnQoJQ0kSD_KlhBQa-1M0D9rApFMLOAKNqPaYLwPeNZciu-ZS8aWFkg==&rwebid=23340520&rhost
"2000 Post St San Francisco, CA 94115",Lower Pacific Heights,0,1,2952,475,,FALSE,10/14/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=8~7548702320720243543~5Jx5dIMnkrc8QepqHY_yNvwUSiWUMzC3kPYTbK4FTOrbm2NfbRRG1gY48nrduP0GrXSCehvkILQuwK_rPobOohMKLeSZ-n2u-H9yb3ZMT4_0uH3FA2bmzvilNMj2H8QQoA58l69myvOTNDDDw80wjrXPFhXyqBAFf70V_gqiWzcGqKwtSN5nqip1n1_J6k1QmutJP8vQychvQ3Ndw6or5MGKoVRCdr9MvcrYmdNn_iQB_1E0AmW8qU6wJqRJzrj0T8DunP_8SkieWOHeMS4PBII2LhyXGJnJnQoJQ0kSD_KlhBQa-1M0D9rApFMLOAKNqPaYLwPeNZciu-ZS8aWFkg==&rwebid=23340520&rhost
"2000 Post St San Francisco, CA 94115",Lower Pacific Heights,0,1,2656,475,,FALSE,5/8/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~300838672480638848~mXdX2iZ-5MRpkTMxcvCeGo8qXOl8pIdnrmdziKMVLKEDh296d8GL62v26pYAxO1WwgL9Q8z0J-avjYLFEGvCIUNEVELCBE3ckMBG4hamrRsWW30CDd4JIyWWV2wbO5AKUT3BZRaK-jfqprtM6AYAcYXh9E7eIJwzIW8VnNRNfzBX3YIo3iRANruX3TN0jQ-U09jIF7ZcPveZCX9r2NBPv3d9O2sNiZJX-qCyq6Dj244O8AsvsVpr_FV2yiICFf9aMM0lyQ-QAuKMna4Aqk7SxgKGdlhVKWLWfMMBDvUPtykXb9vA_vqI21Bc_bFrRZywhZBG-WlWqoPAIYgxdALbnA==&rwebid=23341126&rhost
"1201 Funston Ave San Francisco, CA 94122",Inner Sunset,0,1,2655,476,,FALSE,9/27/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=2~7460765717179372823~XprnR-YsMk8uxZs2YX_ux-0E24DFwJk0xkobyX2fw8WZyzAQLrou4POcsH0SNdJmclS0a7w-IixaAr9bEdbHJm6cCEz-FJJ3gXByDcWBZ4b2jh9DwE4tcR-YOA2Kz8tck6-HA3-VQF9bPZVGXW4ZxhmG0gUqibpAEcwYzU7ctxcb_BNfUJIKOc4juxuGGQ0j5y0rixN6qLjdoIduoenSbSvcaiQEsXAYB9mM2JpAz_UQ1ILwq-Xdq_-c2GVaRdxA-XhUQpAMMJcD5uXistdrkQW9NUG7_HWa9o3LlRZvNPM77mAxMC_k8UiV9kdCm6zyAtErah7Jkxq-bI7RhqZvPg==&rwebid=23194034&rhost
"8 10th St San Francisco, CA 94103",South of Market,0,1,3690,476,,FALSE,2/11/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=2~4615750623038366980~jF68JEdZ0re5eA-MpWoPZVHytxrZX-bPMgMfpxRDIIUWEuKKb_8KvsiC-ex16cXdlfyQDR-1-2sAbYy3ZK4NHvmQV9ZrG9VP15cwX3XxCfwbdbEPSyFGcWfMiWXqG_TjF0l7ScD_k_EPddEwTvbbA3Aq-lHLoQC4d9pnn5Z1rvbFvd7baRWynToil6__TuvHF0yH6ORHEMjLzDNziJaNpawesgviH-qYRnVvQUsyWF6S9hnEJoMPWn8AqYLoqJkyZmE3wwDHE3NgKriwoMhwUHxFBQCwrjSabSdrIGqg8KgePvEry4eJSWB1xVvLokYujpc_MXDqCVElFkj1MD7v5Q==&rwebid=23192090&rhost
"900 Folsom St San Francisco, CA 94107",South of Market,1,1,3673,476,,FALSE,2/16/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=3~6251700037974780069~E4v2TuXWKm1wncDVTpECCKszhhvlGhCRTfy4aj-xKLqe5YaA6w0ewz6Daa47A5bZ9qPp2orFudNvR7IiIcWg4oE1eoAlQUyZG-m6AYpuA9TV-kBVRSZ4_nsXMMK2Yl1fdW2pUwP1fLnGggZf525iqRFP3rJadb0fiY9NtSH0Hwz_1NBCu6wMDHT_6mowBqaqiSntDRN5JcPBEGZLpTIMQ1HkJLr9Qk0bWXOFzPl1IANvKt7_Nn5OLso1Ola7Ex-EG3zo-dT0W2T3DKh10gbGGdwufrNvNjoHiTFS5NZ-DClVxJCMk_EUP8W_aFOMk07ZDosesKM7P3XsW0K5gj4l9w==&rwebid=23352431&rhost
240 Lombard Street #435,North Waterfront,0,1,2500,477,,TRUE,5/20/2014,Climb SF,http://www.climbsf.com/for-rent/240-lombard-st-435/
74 New Montgomery Street #309,SOMA,0,1,2850,484,,TRUE,5/27/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-309/
"100 Van Ness Ave San Francisco, CA 94102",Van Ness - Civic Center,0,1,3030,484,,FALSE,12/11/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=6~4566311886543541174~EuPyGFA4mvBb9DjzPpjslJYCnqSmK4gZMzj6E3uV5imGX3a5YQDpEwKHnwOEsft6alCEUF2ZffQTbx73DaRbvx78-yNDaDz1t4cfljBN9YcYcbjqXRpFSPWW__95ASbpLr-3cqzKWlWUHneZfswRKjnkvSXw4THvpssMMDts_Itdp6nXDtDss4lwaxjVcPQ3TFsae34lbXXQ-wHqOiY1Ife1Yul_9li7AQYwZD4pptWKNtyE30vDzEeKYpXjakGVeV2y6GbevATRoK24oaQEFZ1LVlWvh59KK3x-jPBzeyUWG7GUF37VWt3DVSXUI-Gf6cOhHDuTsjeKPdLxwaX7SQ==&rwebid=23538783&rhost
74 New Montgomery Street #709,Yerba Buena,0,1,3150,489,,TRUE,6/9/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-709/
"8 10th St San Francisco, CA 94103",South of Market,0,1,3730,492,,FALSE,6/9/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=3~5265983560504780274~2lC2Ul3tfylK37r8UhbBagSKfPJw2Vkd7WXMQOf-70P9qtDCLvZV56WwxOTMIit0cC-WHBVQMWgSUkpTPf-GmOdTMre3GWmsNbonRrHLuO7vlsjMwbcJFVhol_QNQQhsRMxIYTVbSQEI-c9SV61VIO9pJPIk2gi7D3V00EDlnS8D0a-GSgJy2ocKiRyyTYK2BLkXTWfr4kt3dsNb8JYZTg2A_tE3qUYUhr4tAlCm01o18qA3RqsRB5I49qAyhIAWCOqlIYxylNtyVDhCn2vqNGateGKsW4Qsb677jwGqYBFWYAaTmucxm8wiNlu9H2Y7IzJ6d5Iy-3jmEXjZNZCOiw==&rwebid=23191607&rhost
"8 10th St San Francisco, CA 94103",South of Market,0,1,3730,492,,FALSE,2/11/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=3~5265983560504780274~2lC2Ul3tfylK37r8UhbBagSKfPJw2Vkd7WXMQOf-70P9qtDCLvZV56WwxOTMIit0cC-WHBVQMWgSUkpTPf-GmOdTMre3GWmsNbonRrHLuO7vlsjMwbcJFVhol_QNQQhsRMxIYTVbSQEI-c9SV61VIO9pJPIk2gi7D3V00EDlnS8D0a-GSgJy2ocKiRyyTYK2BLkXTWfr4kt3dsNb8JYZTg2A_tE3qUYUhr4tAlCm01o18qA3RqsRB5I49qAyhIAWCOqlIYxylNtyVDhCn2vqNGateGKsW4Qsb677jwGqYBFWYAaTmucxm8wiNlu9H2Y7IzJ6d5Iy-3jmEXjZNZCOiw==&rwebid=23191607&rhost
"1200 Ocean Ave San Francisco, CA 94112",Westwood Park,0,1,2725,493,,FALSE,5/28/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=7~4630927612201990197~NM3MIytAON7Rsl3urKna9-_K_QpmOBKsWiEhvIJAE6vAYS-sdy59FTcu97S6nmhGTxCXRVTCl1v74QlbyCqtugeIT-i0g6V1oJTuSneRfF7Nf0zeh0uqk70AePtqwyjps_tclH9oz3SPdwV7w-0NUgUs-LzKpGVs2zt6m1BN7gBNhmbs-iJ02ziOV6y8_f0re4F5uPz-s0tUho4iDwhMurKuLd0iQTtUYXbb-4BTNSou2vKlALSJz8rROArcjhLc6G2U3eWuI8LLf9bN32biibdxePIKsWy7zPbE-btUQi5tcR1z8lAKFsVzn4KobIILImtUEWyKvv8zP-E4g0prIg==&rwebid=22970708&rhost
"1200 Ocean Ave San Francisco, CA 94112",Westwood Park,0,1,2725,493,,FALSE,3/18/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=7~4630927612201990197~NM3MIytAON7Rsl3urKna9-_K_QpmOBKsWiEhvIJAE6vAYS-sdy59FTcu97S6nmhGTxCXRVTCl1v74QlbyCqtugeIT-i0g6V1oJTuSneRfF7Nf0zeh0uqk70AePtqwyjps_tclH9oz3SPdwV7w-0NUgUs-LzKpGVs2zt6m1BN7gBNhmbs-iJ02ziOV6y8_f0re4F5uPz-s0tUho4iDwhMurKuLd0iQTtUYXbb-4BTNSou2vKlALSJz8rROArcjhLc6G2U3eWuI8LLf9bN32biibdxePIKsWy7zPbE-btUQi5tcR1z8lAKFsVzn4KobIILImtUEWyKvv8zP-E4g0prIg==&rwebid=22970708&rhost
"325 Octavia St San Francisco, CA 94102",Hayes Valley,0,1,3410,497,,FALSE,12/22/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=8~2610558457842787058~Q-jFUE0Qhb5amU7TQgl1_5LwD9DFKaBPII8VIpjnnGGIOktRHFc7Y7trLcyI3OtoUm7HyLaHps6KL2MbYLy2Vl_Fn9lmxFNmqw7ZtA6lO7aZ2WZ-ipfjWs_hC-yEMeUod5QX9W-aPFkpmDEXZcP2uqc3IF2Cv7_zBJ7iBl5GVIM6h1b1FbFMg8zDoKHqkW2BGEtzqxwygsC4KJhgG8BHbCFScFYfbbtOCZjypn08xVkXzt1lUCQCm1GxDyZFD6v3Wh3_tGu2fB-pB2LT66Bqb_CQAfejxQnuNKyHhYoDGrE-zeT2TnD3b0r308Dr7_y7NUMfSCIgbT8uwOf26Kw3Jg==&rwebid=22999075&rhost
45 Bartlett Street #315,Inner Mission,0,1,3000,500,,TRUE,4/9/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-315/
"2211 Stockton St San Francisco, CA 94133",North Waterfront,0,1,2450,500,,FALSE,8/18/2014,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~7942950733352396549~Zr4e935pbldAE4Jb_rThRdldsflQxESkOtjexcPwguL5fg7GrDXJDDdzGf5J5RXTg58FJssoxRtRPc8W9dFDSvoau3QEuMyHaVRkFSu6bZ8TXklSUmgoK05U_5UomGA1gWt1Eh7jBMbD5Vk3n-O9X6jDgIgl9GRPQD2i342tk6tMYgqLmiF29MA5VGep4pNKqppumkU6Dc0XbUlpvrMvr64CldYn6NJu0oxAMw3TEY7mJkRhzZ53jaZYaangWCBg54OkBjMyg_RbjbX1rvHN2H6UGAYiskX6sUIn05sv4BZyJ666WGRrPKAhrflqdGvSntyKyZ2RzP4MRJPtT6s_gw==&rwebid=23154849&rhost
