property,address,area,num bedrooms,num bath,type,lease,rent,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
333 Fremont St. #810,333 Fremont Street #810,San Francisco (South Beach),2 BR,2 BA,Condo,1 Year,"4,300",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
252 Granada Ave.,252 Granada Avenue,San Francisco (Ingleside),2 BR,2 BA,Single-Family,1 Year,"3,950",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
1766 Oakdale Ave.,1766 Oakdale Avenue,San Francisco (Bayview),2 BR,2 BA,Apartment,1 Year,"3,975",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
SOMA Grand,1160 Mission Street #1112,San Francisco (SOMA),1 BR,1 BA,Condo,1 Year,"3,750",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
655 5th St. #12,655 Fifth Street #12,San Francisco (SOMA),1 BR,2 BA,Live/Work Loft,1 Year,"3,800",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
567 Vallejo St. #PH500,567 Vallejo Street #PH500,San Francisco (North Beach),3 BR,3 BA,Condo,1 Year,"12,000",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
333 Fremont St. #705,333 Fremont Street #705,San Francisco (South Beach),1 BR,1 BA,Condo,1 Year,"3,600",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
199 New Montgomery St. #402,199 New Montgomery Street #402,San Francisco (Yerba Buena),2 BR,2 BA,Condo,1 Year,"4,750",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Hawthorne Place,77 Dow Place #707,San Francisco (SOMA),1 BR,1.5 BA,Loft,1 Year,"3,950",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
1 College Ave.,1 College Avenue,San Francisco (Bernal Heights),3 BR,2 BA,Apartment,1 Year,"5,300",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
The Beacon,260 King Street #1013,San Francisco (Mission Bay),1 BR,1 BA,Condo,1 Year,"3,750",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
The Cathedral Building,1615 Broadway #12,East Bay (Oakland),2 BR,2 BA,Condo,1 Year,"5,500",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Blue Star Corner,4236 Halleck Street,East Bay (Emeryville),1 BR,1 BA,Condo,1 Year,"2,900",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
