,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,price,date_closed,date_listed,neighborhood,error,predicted_price
519,"2157 20th Ave, San Francisco, CA 94116",2,1,1700,zillow_sf,http://www.zillow.com/homedetails/2157-20th-Ave-San-Francisco-CA-94116/15117925_zpid/,-122.477,37.7475,3500,,2015-09-12,Parkside,1445.41149749,4945.41149749
215,55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,37.774,3200,2011-12-20,,Hayes Valley,1441.67272829,4641.67272829
575,935 Union Street,2,3,1600,climbsf_rented,http://www.climbsf.com/for-rent/935-union-st/,-122.415,37.7997,5450,2014-07-14,,Russian Hill,1437.51397632,6887.51397632
854,720 Gough Street #45,2,2,1316,climbsf_rented,http://www.climbsf.com/for-rent/720-gough-st-45/,-122.423,37.7801,3975,2015-05-15,,Van Ness/Civic Center,1370.10920374,5345.10920374
442,"2247 Turk Blvd, San Francisco, CA 94118",3,2,1750,zillow_sf,http://www.zillow.com/homedetails/2247-Turk-Blvd-San-Francisco-CA-94118/15084910_zpid/,-122.446,37.7784,5800,,2015-10-02,North Panhandle,1328.66343295,7128.66343295
486,1979 Clay Street,3,2,2000,climbsf_rented,http://www.climbsf.com/for-rent/1979-clay-st/,-122.425,37.7915,5250,2013-02-26,,Pacific Heights,1310.41963674,6560.41963674
471,"45th Ave San Francisco, CA 94116",3,1,1150,zillow_sf,http://www.zillow.com/homedetails/45th-Ave-San-Francisco-CA-94116/2105264419_zpid/,-122.504,37.7437,3200,2015-10-01,2015-09-28,Outer Parkside,1304.19438305,4504.19438305
234,"46 Potomac St, San Francisco, CA 94117",2,1,1350,zillow_sf,http://www.zillow.com/homedetails/46-Potomac-St-San-Francisco-CA-94117/2101230147_zpid/,-122.433,37.77,5000,,2015-09-02,Hayes Valley,1296.58188798,6296.58188798
894,"1011 23rd St APT 11, San Francisco, CA 94107",2,2,1884,zillow_sf,http://www.zillow.com/homedetails/1011-23rd-St-APT-11-San-Francisco-CA-94107/80742827_zpid/,-122.39,37.755,4890,,2015-08-10,Central Waterfront/Dogpatch,1244.13391974,6134.13391974
279,"1043 Valencia St APT 1, San Francisco, CA 94110",3,2,2300,zillow_sf,http://www.zillow.com/homedetails/1043-Valencia-St-APT-1-San-Francisco-CA-94110/2121384753_zpid/,-122.421,37.7561,6995,,2015-08-16,Inner Mission,1224.93959499,8219.93959499
900,"1030 Le Conte Ave, San Francisco, CA 94124",4,3,2200,zillow_sf,http://www.zillow.com/homedetails/1030-Le-Conte-Ave-San-Francisco-CA-94124/15155078_zpid/,-122.397,37.7188,3750,,2015-09-28,Bayview Heights,1206.46338592,4956.46338592
71,970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,3300,2014-01-13,,Diamond Heights,1156.94963156,4456.94963156
761,"300 Berry St, San Francisco, CA 94158",1,1,732,zillow_sf,http://www.zillow.com/homedetails/300-Berry-St-San-Francisco-CA-94158/2116368523_zpid/,-122.396,37.7739,1800,,2012-10-15,South Beach,1144.08518503,2944.08518503
229,"635 Waller St, San Francisco, CA 94117",2,1,1357,zillow_sf,http://www.zillow.com/homedetails/635-Waller-St-San-Francisco-CA-94117/82785584_zpid/,-122.434,37.7705,5200,,2015-09-28,Hayes Valley,1131.54820873,6331.54820873
451,"438 Masonic Ave, San Francisco, CA 94118",1,1,1000,zillow_sf,http://www.zillow.com/homedetails/438-Masonic-Ave-San-Francisco-CA-94118/2101148181_zpid/,-122.447,37.7771,3400,,2015-09-12,North Panhandle,1125.18677547,4525.18677547
786,"88 King St APT 420, San Francisco, CA 94107",2,2,1094,zillow_sf,http://www.zillow.com/homedetails/88-King-St-APT-420-San-Francisco-CA-94107/54854662_zpid/,-122.389,37.7807,4000,,2015-09-27,South Beach,1116.20583014,5116.20583014
808,48 Rausch Street,3,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/48-rausch-st/,-122.41,37.7763,3500,2015-05-19,,South of Market,1114.16363453,4614.16363453
285,"2570 16th Ave, San Francisco, CA 94116",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/2570-16th-Ave-San-Francisco-CA-94116/15123074_zpid/,-122.472,37.74,4700,,2015-09-30,Inner Parkside,1094.82982443,5794.82982443
469,"2691 45th Ave, San Francisco, CA 94116",2,1,1400,zillow_sf,http://www.zillow.com/homedetails/2691-45th-Ave-San-Francisco-CA-94116/15124591_zpid/,-122.503,37.7364,3750,,2015-09-06,Outer Parkside,1077.69300817,4827.69300817
296,"266 5th Ave # 3, San Francisco, CA 94118",3,2,2200,zillow_sf,http://www.zillow.com/homedetails/266-5th-Ave-3-San-Francisco-CA-94118/2132318123_zpid/,-122.463,37.7836,5000,,2015-09-18,Inner Richmond,1071.36475644,6071.36475644
538,223 Mississippi Street #2,2,1,2300,climbsf_rented,http://www.climbsf.com/for-rent/223-mississippi-st-2/,-122.395,37.7635,5700,2014-11-05,,Potrero Hill,1060.05887419,6760.05887419
677,260 King Street #605,2,2,1488,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-605/,-122.394,37.7774,4600,2014-10-02,,South Beach,1050.81698576,5650.81698576
138,16 Jessie St #407,1,1,450,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-407/,-122.399,37.7899,2000,2011-12-20,,Yerba Buena,1044.10459754,3044.10459754
297,"620 11th Ave, San Francisco, CA 94118",3,1,2340,zillow_sf,http://www.zillow.com/homedetails/620-11th-Ave-San-Francisco-CA-94118/15098209_zpid/,-122.469,37.7766,4950,2015-10-03,2015-09-03,Inner Richmond,1029.6081583,5979.6081583
243,252 Granada Avenue,2,2,1600,climbsf_rented,http://www.climbsf.com/for-rent/252-granada-ave/,-122.457,37.723,3950,2015-07-21,,Ingleside,1011.92322555,4961.92322555
708,601 Fourth Street #226,1,1,1174,climbsf_rented,http://www.climbsf.com/for-rent/601-4th-st-226/,-122.396,37.7783,3650,2015-03-25,,South Beach,1002.20059289,4652.20059289
391,"1950A 15th St, San Francisco, CA 94114",3,1,1750,zillow_sf,http://www.zillow.com/homedetails/1950A-15th-St-San-Francisco-CA-94114/2101088852_zpid/,-122.428,37.7664,6000,,2015-09-21,Mission Dolores,995.231245041,6995.23124504
485,"1290 41st Ave, San Francisco, CA 94122",2,1,1250,zillow_sf,http://www.zillow.com/homedetails/1290-41st-Ave-San-Francisco-CA-94122/2101175347_zpid/,-122.5,37.7627,3395,2015-10-01,2015-09-24,Outer Sunset,994.414511025,4389.41451103
482,"45th Ave San Francisco, CA 94121",4,3,2597,zillow_sf,http://www.zillow.com/homedetails/45th-Ave-San-Francisco-CA-94121/2100984197_zpid/,-122.506,37.7763,5600,,2015-09-29,Outer Richmond,990.17779364,6590.17779364
115,"366 Eureka St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/366-Eureka-St-San-Francisco-CA-94114/2101107502_zpid/,-122.438,37.7561,3950,,2015-09-18,Eureka Valley / Dolores Heights,983.622415331,4933.62241533
51,"1539 27th Ave, San Francisco, CA 94122",3,2,2208,zillow_sf,http://www.zillow.com/homedetails/1539-27th-Ave-San-Francisco-CA-94122/15107079_zpid/,-122.486,37.7587,4900,,2015-09-22,Central Sunset,968.518521104,5868.5185211
223,300 Ivy Street #500,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-500/,-122.423,37.7774,4900,2015-04-21,,Hayes Valley,964.139788556,5864.13978856
21,301 Crescent Court #3107,2,2,892,climbsf_renting,http://www.climbsf.com/for-rent/301-crescent-ct-3107/,-122.419,37.7352,3150,2015-08-27,2015-08-23,Bernal Heights,961.598570795,4111.5985708
491,2072 Vallejo Street,1,1,1079,climbsf_rented,http://www.climbsf.com/for-rent/2072-vallejo-st/,-122.431,37.796,3575,2015-01-21,,Pacific Heights,954.978585392,4529.97858539
862,"185 Franklin St, San Francisco, CA 94102",2,1,900,zillow_sf,http://www.zillow.com/homedetails/185-Franklin-St-San-Francisco-CA-94102/2101118127_zpid/,-122.421,37.7758,3200,2015-10-03,2015-09-28,Van Ness/Civic Center,930.200016663,4130.20001666
629,18 Lansing Street #201,2,2,1173,climbsf_rented,http://www.climbsf.com/for-rent/18-lansing-st-201/,-122.394,37.7864,3700,2013-11-25,,South Beach,925.269333125,4625.26933313
4,"Anzavista Ave San Francisco, CA 94115",0,1,750,zillow_sf,http://www.zillow.com/homedetails/Anzavista-Ave-San-Francisco-CA-94115/2101488152_zpid/,-122.444,37.7796,2295,,2015-08-05,Anza Vista,919.135645115,3214.13564512
26,"3179 Cesar Chavez, San Francisco, CA 94110",3,2,1625,zillow_sf,http://www.zillow.com/homedetails/3179-Cesar-Chavez-San-Francisco-CA-94110/15159678_zpid/,-122.413,37.7479,4900,,2015-09-23,Bernal Heights,910.040404432,5810.04040443
428,727 Green Street,2,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/727-green-st/,-122.411,37.7992,4600,2015-01-26,,North Beach,903.6474911,5503.6474911
126,"Vienna St San Francisco, CA 94112",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/Vienna-St-San-Francisco-CA-94112/2101340414_zpid/,-122.429,37.722,4650,,2015-08-21,Excelsior,903.496879216,5553.49687922
399,"31 Navajo Ave, San Francisco, CA 94112",4,2,1800,zillow_sf,http://www.zillow.com/homedetails/31-Navajo-Ave-San-Francisco-CA-94112/15188527_zpid/,-122.444,37.7197,4500,2015-10-01,2015-09-29,Mission Terrace,892.313891972,5392.31389197
193,205 Beacon Street,4,3,2200,climbsf_rented,http://www.climbsf.com/for-rent/205-beacon-st/,-122.432,37.7397,6000,2014-09-17,,Glen Park,890.001552668,6890.00155267
417,"179 Chattanooga St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/179-Chattanooga-St-San-Francisco-CA-94114/2103720107_zpid/,-122.426,37.7537,4000,2015-10-03,2015-08-31,Noe Valley,888.485074511,4888.48507451
746,"88 King St APT 919, San Francisco, CA 94107",2,2,1145,zillow_sf,http://www.zillow.com/homedetails/88-King-St-APT-919-San-Francisco-CA-94107/80746344_zpid/,-122.389,37.7807,4200,,2011-02-09,South Beach,879.592812841,5079.59281284
146,301 Mission Street #14D,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-14d/,-122.396,37.7905,2950,2014-06-20,,Yerba Buena,860.590352359,3810.59035236
899,"401 Crescent Ct, San Francisco, CA 94134",1,1,1103,zillow_sf,http://www.zillow.com/homedetails/401-Crescent-Ct-San-Francisco-CA-94134/2103788395_zpid/,-122.388,37.7112,1900,,2015-07-18,Candlestick Point,856.782354896,2756.7823549
604,201 Harrison Street #711,1,1,795,climbsf_rented,http://www.climbsf.com/for-rent/201-harrison-st-711/,-122.39,37.7877,2600,2013-02-28,,South Beach,848.827324599,3448.8273246
261,891 York Street,2,1,900,climbsf_rented,http://www.climbsf.com/for-rent/891-york-st/,-122.409,37.7579,3400,2015-06-16,,Inner Mission,837.595624705,4237.59562471
596,1782 Quint Street,3,2,1270,climbsf_rented,http://www.climbsf.com/for-rent/1782-quint-st/,-122.399,37.7349,3600,2014-07-07,,Silver Terrace,835.60306975,4435.60306975
557,"1117 De Haro St, San Francisco, CA 94107",1,1,800,zillow_sf,http://www.zillow.com/homedetails/1117-De-Haro-St-San-Francisco-CA-94107/15151571_zpid/,-122.4,37.7557,2750,,2015-08-23,Potrero Hill,829.256196712,3579.25619671
657,400 Beale Street #1312,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-1312/,-122.391,37.7871,3975,2014-05-12,,South Beach,818.387598975,4793.38759897
527,7 Colby Street,3,2,1400,climbsf_rented,http://www.climbsf.com/for-rent/7-colby-st/,-122.415,37.7308,3700,2015-02-07,,Portola,815.729946811,4515.72994681
807,520 6th Street #16,2,2,1560,climbsf_rented,http://www.climbsf.com/for-rent/520-6th-st-16/,-122.402,37.7755,4900,2015-04-16,,South of Market,808.632692608,5708.63269261
901,"84 Jennings Ct, San Francisco, CA 94124",3,2,1475,zillow_sf,http://www.zillow.com/homedetails/84-Jennings-Ct-San-Francisco-CA-94124/15155020_zpid/,-122.397,37.7171,3000,,2015-06-25,Bayview Heights,804.141731752,3804.14173175
641,403 Main Street #515,2,2,1207,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-515/,-122.39,37.7881,4150,2014-02-03,,South Beach,803.403901502,4953.4039015
375,435 China Basin Street #639,2,2,1590,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-639/,-122.389,37.7716,6100,2014-12-18,,Mission Bay,-801.185028068,5298.81497193
293,"11th Ave San Francisco, CA 94118",3,1,1500,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94118/2103990581_zpid/,-122.469,37.7805,5400,,2015-06-06,Inner Richmond,-805.876089089,4594.12391091
738,425 1st Street #2005,1,1,710,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-2005/,-122.392,37.7858,4500,2015-08-14,,South Beach,-812.569424979,3687.43057502
842,"43 Varennes St, San Francisco, CA 94133",2,1,874,zillow_sf,http://www.zillow.com/homedetails/43-Varennes-St-San-Francisco-CA-94133/119684964_zpid/,-122.407,37.8003,5200,,2015-09-01,Telegraph Hill,-815.945674931,4384.05432507
643,301 Main Street #25E,2,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-25e/,-122.391,37.7894,5800,2014-02-12,,South Beach,-821.864947805,4978.1350522
565,"Kansas St San Francisco, CA 94107",1,1,967,zillow_sf,http://www.zillow.com/homedetails/Kansas-St-San-Francisco-CA-94107/2101154559_zpid/,-122.403,37.7577,4750,,2015-09-25,Potrero Hill,-822.781672077,3927.21832792
606,338 Spear Street #18B,2,2,1322,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-18b/,-122.391,37.7894,5700,2013-03-04,,South Beach,-835.873233095,4864.1267669
507,"2077 Jackson St APT 304, San Francisco, CA 94109",1,1,750,zillow_sf,http://www.zillow.com/homedetails/2077-Jackson-St-APT-304-San-Francisco-CA-94109/15073942_zpid/,-122.429,37.7929,4495,,2015-09-29,Pacific Heights,-843.135449728,3651.86455027
355,"1921 Jefferson St APT 305, San Francisco, CA 94123",2,2,934,zillow_sf,http://www.zillow.com/homedetails/1921-Jefferson-St-APT-305-San-Francisco-CA-94123/15079692_zpid/,-122.444,37.8044,5200,,2015-09-06,Marina,-861.931678853,4338.06832115
548,"San Bruno Ave San Francisco, CA 94107",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/San-Bruno-Ave-San-Francisco-CA-94107/2107187073_zpid/,-122.405,37.7621,4900,,2014-11-19,Potrero Hill,-871.012140846,4028.98785915
496,"Vallejo St San Francisco, CA 94123",0,1,700,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94123/2107186505_zpid/,-122.435,37.7952,4200,,2014-11-19,Pacific Heights,-873.791040489,3326.20895951
369,480 Mission Bay Boulevard North #1608,2,2,1344,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-1608/,-122.389,37.7711,5475,2013-07-15,,Mission Bay,-883.464080204,4591.5359198
143,301 Mission Street #701,2,2,1955,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-701/,-122.396,37.7905,7400,2013-12-11,,Yerba Buena,-893.278831877,6506.72116812
830,95 Bluxome Street,2,3,1552,climbsf_renting,http://www.climbsf.com/for-rent/95-bluxome-st/,-122.398,37.7761,6950,,2015-09-27,South of Market,-897.232010693,6052.76798931
272,"York St San Francisco, CA 94110",0,1,560,zillow_sf,http://www.zillow.com/homedetails/York-St-San-Francisco-CA-94110/2101876884_zpid/,-122.408,37.7545,4000,,2015-06-24,Inner Mission,-909.841938867,3090.15806113
283,"413 Valencia St UNIT 403, San Francisco, CA 94103",2,2,783,zillow_sf,http://www.zillow.com/homedetails/413-Valencia-St-UNIT-403-San-Francisco-CA-94103/123597078_zpid/,-122.422,37.7663,5200,,2015-09-23,Inner Mission,-917.892666894,4282.10733311
856,"Van Ness Ave San Francisco, CA 94102",1,1,832,zillow_sf,http://www.zillow.com/homedetails/Van-Ness-Ave-San-Francisco-CA-94102/2104531446_zpid/,-122.419,37.7767,4700,,2015-08-29,Van Ness/Civic Center,-918.286370207,3781.71362979
555,"23rd St San Francisco, CA 94107",2,1,850,zillow_sf,http://www.zillow.com/homedetails/23rd-St-San-Francisco-CA-94107/2104925090_zpid/,-122.393,37.7551,4800,,2015-08-21,Potrero Hill,-965.573087171,3834.42691283
474,459 33rd Avenue,2,2,1600,climbsf_renting,http://www.climbsf.com/for-rent/459-33rd-ave/,-122.494,37.7805,5500,,2015-08-23,Outer Richmond,-982.295505962,4517.70449404
308,"Arguello Blvd San Francisco, CA 94118",3,1,1040,zillow_sf,http://www.zillow.com/homedetails/Arguello-Blvd-San-Francisco-CA-94118/2101126760_zpid/,-122.459,37.7816,5490,,2015-09-16,Jordan Park / Laurel Heights,-988.150777176,4501.84922282
100,234 Grand View Avenue,3,2,1682,climbsf_rented,http://www.climbsf.com/for-rent/234-grand-view-ave/,-122.441,37.7545,7300,2014-09-26,,Eureka Valley / Dolores Heights,-991.427669069,6308.57233093
383,35 Dolores Street #410,2,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/35-dolores-st-410/,-122.427,37.7686,6050,2015-02-25,,Mission Dolores,-993.158483272,5056.84151673
493,"3010 Sacramento St, San Francisco, CA 94115",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/3010-Sacramento-St-San-Francisco-CA-94115/2132904222_zpid/,-122.443,37.7889,5500,,2015-06-19,Pacific Heights,-1015.6524435,4484.3475565
494,"2196 Pacific Ave, San Francisco, CA 94115",2,2,1456,zillow_sf,http://www.zillow.com/homedetails/2196-Pacific-Ave-San-Francisco-CA-94115/2129723257_zpid/,-122.431,37.7939,6900,,2015-09-01,Pacific Heights,-1031.50043805,5868.49956195
24,"165 Crescent Ave, San Francisco, CA 94110",1,1,560,zillow_sf,http://www.zillow.com/homedetails/165-Crescent-Ave-San-Francisco-CA-94110/15164323_zpid/,-122.421,37.7353,4000,,2015-07-28,Bernal Heights,-1036.62981424,2963.37018576
429,296 Francisco Street,2,1,987,climbsf_rented,http://www.climbsf.com/for-rent/296-francisco-st/,-122.41,37.8053,5675,2015-07-07,,North Beach,-1044.49769182,4630.50230818
349,"400 Avila St APT 306, San Francisco, CA 94123",2,1,758,zillow_sf,http://www.zillow.com/homedetails/400-Avila-St-APT-306-San-Francisco-CA-94123/15069915_zpid/,-122.441,37.805,4699,,2015-09-17,Marina,-1051.19010157,3647.80989843
346,1839 Jefferson Street,2,2,1460,climbsf_rented,http://www.climbsf.com/for-rent/1839-jefferson-st/,-122.443,37.8048,6400,2014-07-14,,Marina,-1057.76448764,5342.23551236
207,"62 Cragmont Ave, San Francisco, CA 94116",3,2,1800,zillow_sf,http://www.zillow.com/homedetails/62-Cragmont-Ave-San-Francisco-CA-94116/15115392_zpid/,-122.467,37.7501,6500,,2015-09-28,Golden Gate Heights,-1075.13174397,5424.86825603
863,"77 Van Ness Ave APT 802, San Francisco, CA 94102",0,1,523,zillow_sf,http://www.zillow.com/homedetails/77-Van-Ness-Ave-APT-802-San-Francisco-CA-94102/111710828_zpid/,-122.42,37.776,4000,,2015-09-21,Van Ness/Civic Center,-1079.08338115,2920.91661885
408,"25th St San Francisco, CA 94114",2,1,750,zillow_sf,http://www.zillow.com/homedetails/25th-St-San-Francisco-CA-94114/2103580042_zpid/,-122.434,37.7497,4900,,2015-06-24,Noe Valley,-1089.21430369,3810.78569631
764,"301 Main St, San Francisco, CA 94105",2,2,1300,zillow_sf,http://www.zillow.com/homedetails/301-Main-St-San-Francisco-CA-94105/2117405691_zpid/,-122.391,37.7895,6500,,2015-09-16,South Beach,-1089.42354264,5410.57645736
691,425 1st Street #3402,2,2,1309,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3402/,-122.392,37.7858,6600,2015-01-16,,South Beach,-1096.15755109,5503.84244891
550,"Carolina St San Francisco, CA 94107",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/Carolina-St-San-Francisco-CA-94107/2101594035_zpid/,-122.4,37.7589,7250,,2015-07-24,Potrero Hill,-1097.72143729,6152.27856271
344,1837 Jefferson Street,2,2,1345,climbsf_rented,http://www.climbsf.com/for-rent/1837-jefferson-st/,-122.443,37.8045,6200,2014-03-04,,Marina,-1098.77681199,5101.22318801
447,"Fell St San Francisco, CA 94117",0,1,327,zillow_sf,http://www.zillow.com/homedetails/Fell-St-San-Francisco-CA-94117/2101198070_zpid/,-122.442,37.7735,3595,,2015-09-06,North Panhandle,-1100.45075435,2494.54924565
340,"538 Presidio Ave, San Francisco, CA 94115",3,3,1690,zillow_sf,http://www.zillow.com/homedetails/538-Presidio-Ave-San-Francisco-CA-94115/63165637_zpid/,-122.446,37.7867,8000,,2015-09-30,Lower Pacific Heights,-1101.81763762,6898.18236238
514,"2200 Pacific Ave APT 2A, San Francisco, CA 94115",2,2,1856,zillow_sf,http://www.zillow.com/homedetails/2200-Pacific-Ave-APT-2A-San-Francisco-CA-94115/15073209_zpid/,-122.432,37.7939,8000,,2015-10-01,Pacific Heights,-1119.25416111,6880.74583889
867,"135 Forest Side Ave, San Francisco, CA 94127",3,3,2100,zillow_sf,http://www.zillow.com/homedetails/135-Forest-Side-Ave-San-Francisco-CA-94127/15134122_zpid/,-122.469,37.7408,6995,,2015-08-21,West Portal,-1120.54076312,5874.45923688
287,"2202 17th Ave, San Francisco, CA 94116",3,3,1852,zillow_sf,http://www.zillow.com/homedetails/2202-17th-Ave-San-Francisco-CA-94116/15119883_zpid/,-122.474,37.7467,7000,,2015-08-28,Inner Parkside,-1155.8607565,5844.1392435
43,"1630 25th Ave, San Francisco, CA 94122",3,3,1320,zillow_sf,http://www.zillow.com/homedetails/1630-25th-Ave-San-Francisco-CA-94122/15109211_zpid/,-122.483,37.7571,5950,,2015-07-18,Central Sunset,-1158.91644993,4791.08355007
114,"530 Noe St, San Francisco, CA 94114",2,2,1000,zillow_sf,http://www.zillow.com/homedetails/530-Noe-St-San-Francisco-CA-94114/2101885247_zpid/,-122.433,37.7604,5900,,2015-09-18,Eureka Valley / Dolores Heights,-1166.75854101,4733.24145899
168,"1st St San Francisco, CA 94105",1,1,819,zillow_sf,http://www.zillow.com/homedetails/1st-St-San-Francisco-CA-94105/2101399621_zpid/,-122.395,37.7881,5100,,2015-08-14,Yerba Buena,-1179.4158426,3920.5841574
414,"1151 Church St, San Francisco, CA 94114",2,1,940,zillow_sf,http://www.zillow.com/homedetails/1151-Church-St-San-Francisco-CA-94114/79843714_zpid/,-122.427,37.7525,5475,,2015-08-21,Noe Valley,-1185.58021769,4289.41978231
