property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,luxurious,garage,year_built,level,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
438,4363,438,"1011 23rd St APT 11, San Francisco, CA 94107",Central Waterfront - Dogpatch,2,2,1884,zillow_sf,http://www.zillow.com/homedetails/1011-23rd-St-APT-11-San-Francisco-CA-94107/80742827_zpid/,2015-08-23 20:31:20,2015-08-28 15:32:55,37.755,-122.39,5.38075,"1011 23rd St APT 11, San Francisco, CA 94107, Central Waterfront - Dogpatch",,,,1,4363,3850,open,2011-11-16,,,2015-09-27 06:41:47,2015-09-27 06:41:47,438,sales
450,1824,450,"587 London St, San Francisco, CA 94112",Excelsior,4,2,1530,zillow_sf,http://www.zillow.com/homedetails/587-London-St-San-Francisco-CA-94112/15174550_zpid/,2015-08-23 20:31:22,2015-08-27 08:46:41,37.7197,-122.437,73.1027,"587 London St, San Francisco, CA 94112, Excelsior",,1,1900,1,1824,669000,closed,,2008-06-11,,2015-08-27 08:46:45,2015-08-27 08:46:45,450,sales
451,4337,451,"1267 Sunnydale Ave, San Francisco, CA 94134",Visitacion Valley,1,1,1725,zillow_sf,http://www.zillow.com/homedetails/1267-Sunnydale-Ave-San-Francisco-CA-94134/15176756_zpid/,2015-08-23 20:31:22,2015-08-28 15:32:56,37.7112,-122.414,24.1902,"1267 Sunnydale Ave, San Francisco, CA 94134, Visitacion Valley",,0,1963,1,4337,385000,closed,,2010-10-15,,2015-09-27 06:41:46,2015-09-27 06:41:46,451,sales
453,8047,453,"77 Dow Pl APT 901, San Francisco, CA 94107",Yerba Buena,1,1,1060,zillow_sf,http://www.zillow.com/homedetails/77-Dow-Pl-APT-901-San-Francisco-CA-94107/61325302_zpid/,2015-08-23 20:31:22,2015-10-11 22:37:10,37.7841,-122.397,17.9581,"77 Dow Pl APT 901, San Francisco, CA 94107, Yerba Buena",,,,9,8047,599000,closed,2010-08-26,2010-10-08,43,2015-10-03 02:17:33,2015-10-03 02:17:33,453,sales
456,1882,456,"88 Townsend St APT 419, San Francisco, CA 94107",South Beach,2,2,1150,zillow_sf,http://www.zillow.com/homedetails/88-Townsend-St-APT-419-San-Francisco-CA-94107/80735234_zpid/,2015-08-23 20:31:22,2015-10-11 22:37:10,37.7809,-122.391,5.89829,"88 Townsend St APT 419, San Francisco, CA 94107, South Beach",,,,4,1882,1249000,open,2015-04-03,,,2015-08-27 08:46:46,2015-08-27 08:46:46,456,sales
457,457,457,"1 Wilder St, San Francisco, CA 94131",Glen Park,3,2,1365,zillow_sf,http://www.zillow.com/homedetails/1-Wilder-St-San-Francisco-CA-94131/15185423_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:00,37.7338,-122.432,60.1155,"1 Wilder St, San Francisco, CA 94131, Glen Park",,0,1938,1,457,910000,closed,,2005-05-18,,2015-08-23 20:31:39,2015-08-23 20:31:39,457,sales
461,1891,461,"3840 Market St APT 1, San Francisco, CA 94131",Twin Peaks,2,1,936,zillow_sf,http://www.zillow.com/homedetails/3840-Market-St-APT-1-San-Francisco-CA-94131/2146955267_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:03,37.7531,-122.443,157.898,"3840 Market St APT 1, San Francisco, CA 94131, Twin Peaks",,,,1,1891,699000,open,2015-06-06,,,2015-08-27 08:46:47,2015-08-27 08:46:47,461,sales
463,463,463,"2933 Yorba St, San Francisco, CA 94116",Outer Parkside,3,2,1500,zillow_sf,http://www.zillow.com/homedetails/2933-Yorba-St-San-Francisco-CA-94116/15126276_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:04,37.7344,-122.498,22.4848,"2933 Yorba St, San Francisco, CA 94116, Outer Parkside",,0,1953,1,463,861000,closed,,2007-07-18,,2015-08-23 20:31:39,2015-08-23 20:31:39,463,sales
464,464,464,"201 Sansome St UNIT 1001, San Francisco, CA 94104",Financial District,2,2,1000,zillow_sf,http://www.zillow.com/homedetails/201-Sansome-St-UNIT-1001-San-Francisco-CA-94104/79841905_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:04,37.7922,-122.401,4.57521,"201 Sansome St UNIT 1001, San Francisco, CA 94104, Financial District",,,,1,464,930000,closed,,2007-08-24,,2015-08-23 20:31:39,2015-08-23 20:31:39,464,sales
465,4994,465,"635 Waller St, San Francisco, CA 94117",Hayes Valley,2,1,1357,zillow_sf,http://www.zillow.com/homedetails/635-Waller-St-San-Francisco-CA-94117/82785584_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:05,37.7705,-122.434,54.3218,"635 Waller St, San Francisco, CA 94117, Hayes Valley",,0,1895,1,4994,5200,open,2015-09-23,,,2015-09-27 06:42:20,2015-09-27 06:42:20,465,sales
466,466,466,"142 Gates St, San Francisco, CA 94110",Bernal Heights,2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:06,37.741,-122.414,87.487,"142 Gates St, San Francisco, CA 94110, Bernal Heights",,,,1,466,625000,closed,2008-04-27,2008-06-06,40,2015-08-23 20:31:39,2015-09-20 20:57:44,466,sales
468,4703,468,"425 1st St UNIT 3103, San Francisco, CA 94105",South Beach,2,2,1328,zillow_sf,http://www.zillow.com/homedetails/425-1st-St-UNIT-3103-San-Francisco-CA-94105/83154490_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:07,37.7858,-122.392,31.017,"425 1st St UNIT 3103, San Francisco, CA 94105, South Beach",1,,,1,4703,1995000,closed,2015-04-23,2015-05-29,36,2015-09-27 06:42:03,2015-09-27 06:42:04,468,sales
470,470,470,"1963 Mcallister St, San Francisco, CA 94115",North Panhandle,2,2,1000,zillow_sf,http://www.zillow.com/homedetails/1963-Mcallister-St-San-Francisco-CA-94115/53734245_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:08,37.7768,-122.444,70.6278,"1963 Mcallister St, San Francisco, CA 94115, North Panhandle",,,,1,470,799000,closed,2009-03-12,2010-04-01,385,2015-08-23 20:31:39,2015-09-20 20:57:44,470,sales
471,471,471,"8400 Oceanview Ter, San Francisco, CA 94132",Ingleside Heights,2,2,1012,zillow_sf,http://www.zillow.com/homedetails/8400-Oceanview-Ter-San-Francisco-CA-94132/2138567980_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:09,37.7098,-122.468,78.519,"8400 Oceanview Ter, San Francisco, CA 94132, Ingleside Heights",,,,1,471,265000,open,2009-05-28,,,2015-08-23 20:31:39,2015-08-23 20:31:39,471,sales
472,472,472,"438 Broderick St, San Francisco, CA 94117",North Panhandle,3,2,0,zillow_sf,http://www.zillow.com/homedetails/438-Broderick-St-San-Francisco-CA-94117/2138184789_zpid/,2015-08-23 20:31:23,2015-08-28 15:33:09,37.7743,-122.439,65.5902,"438 Broderick St, San Francisco, CA 94117, North Panhandle",,,,1,472,599000,open,2009-06-24,,,2015-08-23 20:31:39,2015-08-23 20:31:39,472,sales
474,4815,474,"1160 Mission St UNIT 1707, San Francisco, CA 94103",South of Market,2,2,1031,zillow_sf,http://www.zillow.com/homedetails/1160-Mission-St-UNIT-1707-San-Francisco-CA-94103/83154486_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.7784,-122.412,12.0417,"1160 Mission St UNIT 1707, San Francisco, CA 94103, South of Market",,0,2009,1,4815,6700,open,2015-08-21,,,2015-09-27 06:42:10,2015-09-27 06:42:10,474,sales
476,2568,476,"240 Lombard St, San Francisco, CA 94111",Telegraph Hill,1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.8041,-122.405,5.97081,"240 Lombard St, San Francisco, CA 94111, Telegraph Hill",,,,1,2568,435000,open,2010-04-02,,,2015-08-31 02:47:46,2015-08-31 02:47:46,476,sales
477,477,477,"3010 Sacramento St, San Francisco, CA 94115",Pacific Heights,2,1,1000,zillow_sf,http://www.zillow.com/homedetails/3010-Sacramento-St-San-Francisco-CA-94115/2132904222_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.7889,-122.443,69.8516,"3010 Sacramento St, San Francisco, CA 94115, Pacific Heights",,,,1,477,710000,open,2010-03-10,,,2015-08-23 20:31:39,2015-08-23 20:31:39,477,sales
478,21007,478,"2196 Pacific Ave, San Francisco, CA 94115",Pacific Heights,2,2,1456,zillow_sf,http://www.zillow.com/homedetails/2196-Pacific-Ave-San-Francisco-CA-94115/2129723257_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.7939,-122.431,80.0589,"2196 Pacific Ave, San Francisco, CA 94115, Pacific Heights",,0,,1,21007,1195000,closed,,2011-01-07,,2015-10-17 02:02:25,2015-10-17 02:02:25,478,sales
479,1834,479,"1340 Mason St, San Francisco, CA 94133",Nob Hill,3,2,1157,zillow_sf,http://www.zillow.com/homedetails/1340-Mason-St-San-Francisco-CA-94133/2125612839_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.796,-122.412,53.7228,"1340 Mason St, San Francisco, CA 94133, Nob Hill",,,,1,1834,639000,open,2011-07-28,,,2015-08-27 08:46:45,2015-08-27 08:46:45,479,sales
481,4840,481,"501 Beale St, San Francisco, CA 94105",South Beach,2,2,1160,zillow_sf,http://www.zillow.com/homedetails/501-Beale-St-San-Francisco-CA-94105/2105529391_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.7863,-122.389,2.86181,"501 Beale St, San Francisco, CA 94105, South Beach",1,1,2006,1,4840,6500,open,2015-08-29,,,2015-09-27 06:42:11,2015-09-27 06:42:11,481,sales
482,21046,482,"435 China Basin St, San Francisco, CA 94158",Mission Bay,2,2,1593,zillow_sf,http://www.zillow.com/homedetails/435-China-Basin-St-San-Francisco-CA-94158/2115710005_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.7716,-122.389,1.8728,"435 China Basin St, San Francisco, CA 94158, Mission Bay",,1,2012,1,21046,999000,closed,,2013-01-02,,2015-10-17 02:02:29,2015-10-17 02:02:29,482,sales
483,4707,483,"2139 Green St, San Francisco, CA 94123",Pacific Heights,2,2,1845,zillow_sf,http://www.zillow.com/homedetails/2139-Green-St-San-Francisco-CA-94123/2114280573_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.796,-122.434,53.784,"2139 Green St, San Francisco, CA 94123, Pacific Heights",,1,1988,1,4707,9995,open,2015-05-05,,,2015-09-27 06:42:03,2015-09-27 06:42:03,483,sales
484,4811,484,"923 14th St, San Francisco, CA 94114",Duboce Triangle,3,1,1700,zillow_sf,http://www.zillow.com/homedetails/923-14th-St-San-Francisco-CA-94114/15142913_zpid/,2015-08-23 20:31:24,2015-08-28 15:33:10,37.7672,-122.434,55.4926,"923 14th St, San Francisco, CA 94114, Duboce Triangle",,1,1900,1,4811,6500,open,2015-08-18,,,2015-09-27 06:42:09,2015-09-27 06:42:09,484,sales
485,485,485,"400 Spear St, San Francisco, CA 94105",South Beach,2,2,1450,zillow_sf,http://www.zillow.com/homedetails/400-Spear-St-San-Francisco-CA-94105/2110481142_zpid/,2015-08-23 20:31:24,2015-08-28 15:33:11,37.7884,-122.389,3.44822,"400 Spear St, San Francisco, CA 94105, South Beach",,,,1,485,930000,closed,,2013-12-31,,2015-08-23 20:31:39,2015-08-23 20:31:39,485,sales
489,489,489,"1822 20th Ave, San Francisco, CA 94122",Central Sunset,3,1,1930,zillow_sf,http://www.zillow.com/homedetails/1822-20th-Ave-San-Francisco-CA-94122/15112285_zpid/,2015-08-23 20:31:24,2015-08-28 15:33:13,37.7537,-122.477,110.095,"1822 20th Ave, San Francisco, CA 94122, Central Sunset",,0,1923,1,489,1295000,closed,2014-10-10,2014-12-02,53,2015-08-23 20:31:40,2015-10-17 02:02:36,489,sales
511,4775,511,"2600 18th St, San Francisco, CA 94110",Mission,2,2,1636,zillow_sf,http://www.zillow.com/homedetails/2600-18th-St-San-Francisco-CA-94110/2102295925_zpid/,2015-08-23 20:31:26,2015-08-28 15:33:21,37.7621,-122.408,13.2362,"2600 18th St, San Francisco, CA 94110, Mission",,0,1999,1,4775,7000,open,2015-07-26,,,2015-09-27 06:42:07,2015-09-27 06:42:07,511,sales
515,5031,515,"829 Folsom St UNIT 304, San Francisco, CA 94107",Yerba Buena,1,1,700,zillow_sf,http://www.zillow.com/homedetails/829-Folsom-St-UNIT-304-San-Francisco-CA-94107/2102215787_zpid/,2015-08-23 20:31:27,2015-08-23 20:31:27,37.7812,-122.402,2.43132,"829 Folsom St UNIT 304, San Francisco, CA 94107, Yerba Buena",1,,,1,5031,3600,open,2015-09-25,,,2015-09-27 06:42:22,2015-09-27 06:42:22,515,sales
653,1426,653,"5426 N 26th St, Phoenix, AZ 85016",Camelback East,4,2,2416,zillow_ph,http://www.zillow.com/homedetails/5426-N-26th-St-Phoenix-AZ-85016/7805582_zpid/,2015-08-24 02:24:26,2015-08-24 02:24:26,33.5169,-112.027,366.443,"5426 N 26th St, Phoenix, AZ 85016, Camelback East",,,,1,1426,575000,open,2010-09-07,,,2015-08-24 02:26:34,2015-08-24 02:26:34,653,sales
654,1521,654,"2705 E Dahlia Dr, Phoenix, AZ 85032",Paradise Valley,3,2,1374,zillow_ph,http://www.zillow.com/homedetails/2705-E-Dahlia-Dr-Phoenix-AZ-85032/7820652_zpid/,2015-08-24 02:24:27,2015-09-20 20:52:24,33.6032,-112.025,438.577,"2705 E Dahlia Dr, Phoenix, AZ 85032, Paradise Valley",,,,1,1521,208000,open,2015-07-02,,,2015-08-24 02:26:36,2015-08-24 02:26:36,654,sales
659,1350,659,"6928 W Garfield St, Phoenix, AZ 85043",Estrella,3,2,1350,zillow_ph,http://www.zillow.com/homedetails/6928-W-Garfield-St-Phoenix-AZ-85043/7476246_zpid/,2015-08-24 02:24:27,2015-08-24 02:24:27,33.4575,-112.209,318.724,"6928 W Garfield St, Phoenix, AZ 85043, Estrella",,,,1,1350,135000,closed,,2006-08-28,,2015-08-24 02:26:33,2015-08-24 02:26:33,659,sales
667,1364,667,"6326 E Carolina Dr, Scottsdale, AZ 85254",Paradise Valley,3,2,1500,zillow_ph,http://www.zillow.com/homedetails/6326-E-Carolina-Dr-Scottsdale-AZ-85254/8022865_zpid/,2015-08-24 02:24:29,2015-08-24 02:24:29,33.6294,-111.944,448.897,"6326 E Carolina Dr, Scottsdale, AZ 85254, Paradise Valley",,,,1,1364,300000,closed,,2007-02-16,,2015-08-24 02:26:34,2015-08-24 02:26:34,667,sales
669,1512,669,"3631 E Summerhaven Dr, Phoenix, AZ 85044",Ahwatukee Foothills,3,2,1828,zillow_ph,http://www.zillow.com/homedetails/3631-E-Summerhaven-Dr-Phoenix-AZ-85044/8254763_zpid/,2015-08-24 02:24:29,2015-08-28 15:34:06,33.3255,-112.004,402.508,"3631 E Summerhaven Dr, Phoenix, AZ 85044, Ahwatukee Foothills",,,,1,1512,308000,open,2015-06-05,,,2015-08-24 02:26:36,2015-08-24 02:26:36,669,sales
676,1353,676,"2702 E Brill St, Phoenix, AZ 85008",Central City,3,2,1362,zillow_ph,http://www.zillow.com/homedetails/2702-E-Brill-St-Phoenix-AZ-85008/7545498_zpid/,2015-08-24 02:24:29,2015-08-28 15:34:11,33.4651,-112.024,343.831,"2702 E Brill St, Phoenix, AZ 85008, Central City",,,,1,1353,200000,closed,,2006-10-06,,2015-08-24 02:26:33,2015-08-24 02:26:33,676,sales
677,4212,677,"4517 E Kelton Ln, Phoenix, AZ 85032",Paradise Valley,4,2,1762,zillow_ph,http://www.zillow.com/homedetails/4517-E-Kelton-Ln-Phoenix-AZ-85032/8019482_zpid/,2015-08-24 02:24:29,2015-08-28 15:34:11,33.6381,-111.984,448.347,"4517 E Kelton Ln, Phoenix, AZ 85032, Paradise Valley",,,,1,4212,1850,open,2015-09-11,,,2015-09-20 21:02:41,2015-09-20 21:02:41,677,sales
683,1417,683,"2119 W Joan De Arc Ave, Phoenix, AZ 85029",North Mountain,4,3,1700,zillow_ph,http://www.zillow.com/homedetails/2119-W-Joan-De-Arc-Ave-Phoenix-AZ-85029/7749853_zpid/,2015-08-24 02:24:30,2015-08-24 02:24:30,33.6072,-112.105,395.43,"2119 W Joan De Arc Ave, Phoenix, AZ 85029, North Mountain",,,,1,1417,63001,closed,,2010-05-10,,2015-08-24 02:26:34,2015-08-24 02:26:34,683,sales
697,1194,697,"2035 E Orangewood Ave, Phoenix, AZ 85020",Camelback East,4,3,2615,zillow_ph,http://www.zillow.com/homedetails/2035-E-Orangewood-Ave-Phoenix-AZ-85020/7807232_zpid/,2015-08-24 02:24:31,2015-08-28 15:34:17,33.5453,-112.037,408.094,"2035 E Orangewood Ave, Phoenix, AZ 85020, Camelback East",,,,1,1194,265000,closed,,1999-11-10,,2015-08-24 02:26:31,2015-08-24 02:26:31,697,sales
707,1204,707,"2801 W Lawrence Ln, Phoenix, AZ 85051",North Mountain,3,2,1176,zillow_ph,http://www.zillow.com/homedetails/2801-W-Lawrence-Ln-Phoenix-AZ-85051/7750275_zpid/,2015-08-24 02:24:32,2015-09-20 20:51:54,33.5641,-112.12,372.046,"2801 W Lawrence Ln, Phoenix, AZ 85051, North Mountain",,,,1,1204,70000,closed,,2000-07-28,,2015-08-24 02:26:31,2015-08-24 02:26:31,707,sales
722,1161,722,"3118 W Corrine Dr, Phoenix, AZ 85029",North Mountain,3,2,1362,zillow_ph,http://www.zillow.com/homedetails/3118-W-Corrine-Dr-Phoenix-AZ-85029/7747510_zpid/,2015-08-24 02:24:33,2015-08-28 15:34:26,33.6009,-112.126,387.212,"3118 W Corrine Dr, Phoenix, AZ 85029, North Mountain",,,,1,1161,80000,closed,,1997-11-20,,2015-08-24 02:26:31,2015-08-24 02:26:31,722,sales
726,1285,726,"807 E Mclellan Blvd, Phoenix, AZ 85014",Camelback East,3,2,2196,zillow_ph,http://www.zillow.com/homedetails/807-E-Mclellan-Blvd-Phoenix-AZ-85014/7796434_zpid/,2015-08-24 02:24:34,2015-08-24 02:24:34,33.5326,-112.062,362.193,"807 E Mclellan Blvd, Phoenix, AZ 85014, Camelback East",,,,1,1285,213000,closed,,2005-01-06,,2015-08-24 02:26:32,2015-08-24 02:26:32,726,sales
733,1226,733,"1843 N 47th Ave, Phoenix, AZ 85035",Maryvale,3,2,1080,zillow_ph,http://www.zillow.com/homedetails/1843-N-47th-Ave-Phoenix-AZ-85035/7494963_zpid/,2015-08-24 02:24:35,2015-08-28 15:34:27,33.4697,-112.16,329.853,"1843 N 47th Ave, Phoenix, AZ 85035, Maryvale",,,,1,1226,74900,closed,,2002-05-23,,2015-08-24 02:26:32,2015-08-24 02:26:32,733,sales
746,1160,746,"351 E Wildwood Dr, Phoenix, AZ 85048",Ahwatukee Foothills,5,3,3026,zillow_ph,http://www.zillow.com/homedetails/351-E-Wildwood-Dr-Phoenix-AZ-85048/8134806_zpid/,2015-08-24 02:24:37,2015-08-24 02:24:37,33.2977,-112.07,398.12,"351 E Wildwood Dr, Phoenix, AZ 85048, Ahwatukee Foothills",,,,1,1160,312000,closed,,1997-11-12,,2015-08-24 02:26:31,2015-08-24 02:26:31,746,sales
747,1149,747,"16016 S 7th St, Phoenix, AZ 85048",Ahwatukee Foothills,4,2,3111,zillow_ph,http://www.zillow.com/homedetails/16016-S-7th-St-Phoenix-AZ-85048/8135078_zpid/,2015-08-24 02:24:37,2015-08-28 15:34:29,33.3005,-112.065,391.712,"16016 S 7th St, Phoenix, AZ 85048, Ahwatukee Foothills",,,,1,1149,255000,closed,,1996-09-12,,2015-08-24 02:26:31,2015-08-24 02:26:31,747,sales
768,1406,768,"2905 W Marlette Ave, Phoenix, AZ 85017",Alahambra,4,2,1599,zillow_ph,http://www.zillow.com/homedetails/2905-W-Marlette-Ave-Phoenix-AZ-85017/7761096_zpid/,2015-08-24 02:24:39,2015-08-28 15:34:36,33.5289,-112.122,355.252,"2905 W Marlette Ave, Phoenix, AZ 85017, Alahambra",,,,1,1406,775,open,2009-12-15,,,2015-08-24 02:26:34,2015-08-24 02:26:34,768,sales
773,1234,773,"2614 E Sahuaro Dr, Phoenix, AZ 85028",Paradise Valley,3,2,1920,zillow_ph,http://www.zillow.com/homedetails/2614-E-Sahuaro-Dr-Phoenix-AZ-85028/7817326_zpid/,2015-08-24 02:24:39,2015-08-28 15:34:39,33.5846,-112.025,446.084,"2614 E Sahuaro Dr, Phoenix, AZ 85028, Paradise Valley",,,,1,1234,205000,closed,,2003-02-05,,2015-08-24 02:26:32,2015-08-24 02:26:32,773,sales
789,1342,789,"11624 N 20th Dr, Phoenix, AZ 85029",North Mountain,3,2,1829,zillow_ph,http://www.zillow.com/homedetails/11624-N-20th-Dr-Phoenix-AZ-85029/7747087_zpid/,2015-08-24 02:24:41,2015-08-28 15:34:43,33.592,-112.103,387.964,"11624 N 20th Dr, Phoenix, AZ 85029, North Mountain",,,,1,1342,224000,closed,,2006-05-05,,2015-08-24 02:26:33,2015-08-24 02:26:33,789,sales
816,1260,816,"6608 E Sandra Ter, Scottsdale, AZ 85254",Paradise Valley,3,2,1616,zillow_ph,http://www.zillow.com/homedetails/6608-E-Sandra-Ter-Scottsdale-AZ-85254/8023617_zpid/,2015-08-24 02:24:43,2015-08-28 15:34:54,33.6352,-111.938,456.032,"6608 E Sandra Ter, Scottsdale, AZ 85254, Paradise Valley",,,,1,1260,232700,closed,,2004-05-28,,2015-08-24 02:26:32,2015-08-24 02:26:32,816,sales
818,1261,818,"6108 N 32nd Ave, Phoenix, AZ 85017",Alahambra,4,2,1500,zillow_ph,http://www.zillow.com/homedetails/6108-N-32nd-Ave-Phoenix-AZ-85017/7760198_zpid/,2015-08-24 02:24:43,2015-08-28 15:34:55,33.5264,-112.128,354.342,"6108 N 32nd Ave, Phoenix, AZ 85017, Alahambra",,,,1,1261,85851,closed,,2004-06-14,,2015-08-24 02:26:32,2015-08-24 02:26:32,818,sales
823,1183,823,"4131 N 74th Dr, Phoenix, AZ 85033",Maryvale,3,2,1200,zillow_ph,http://www.zillow.com/homedetails/4131-N-74th-Dr-Phoenix-AZ-85033/7711110_zpid/,2015-08-24 02:24:43,2015-08-24 02:24:43,33.4964,-112.219,329.533,"4131 N 74th Dr, Phoenix, AZ 85033, Maryvale",,,,1,1183,70000,closed,,1999-06-18,,2015-08-24 02:26:31,2015-08-24 02:26:31,823,sales
829,829,829,"2327 W Avalon Dr, Phoenix, AZ 85015",Encanto,3,1,1160,zillow_ph,http://www.zillow.com/homedetails/2327-W-Avalon-Dr-Phoenix-AZ-85015/7518997_zpid/,2015-08-24 02:24:44,2015-08-24 02:24:44,33.4833,-112.11,336.518,"2327 W Avalon Dr, Phoenix, AZ 85015, Encanto",,,,1,829,84000,closed,,1999-04-02,,2015-08-24 02:25:17,2015-08-24 02:25:17,829,sales
